SlotID,trial,Alignment,tester,sitID,sampleID,Wgcolor,Wgside,Operator,TP_blue,TP_green,TP_red,Meancontrast_blue,Meancontrast_green,Meancontrast_red,Centercontrast_blue,Centercontrast_green,Centercontrast_red,spatialuniformity_blue,spatialuniformity_green,spatialuniformity_red
Slot1,Repeat1,Manual,IQT5,11,Slot1_11_Red,Red,Right,KN,0.00304318,0.00570876,0.00710401,9.2,7.8,13.7,3.6,2.5,11.2,5,3.4,2.7
Slot1,Repeat1,Manual,IQT5,12,Slot1_12_Red,Red,Right,KN,0.00305202,0.00571672,0.00779079,6.5,9.2,15.1,1.7,3.4,13.5,6.2,4.2,3.7
Slot1,Repeat1,Manual,IQT5,21,Slot1_21_Red,Red,Right,KN,0.00371774,0.00576253,0.00822504,5.8,8.2,11,1.8,3.3,8,6.3,3.5,3
Slot1,Repeat1,Manual,IQT5,22,Slot1_22_Red,Red,Right,KN,0.00355897,0.0064358,0.00904266,6.1,8.2,9.4,4.1,3.5,6.5,5.3,3.7,2.6
Slot1,Repeat1,Manual,IQT5,31,Slot1_31_Red,Red,Right,KN,0.00311736,0.00534942,0.0085526,4.8,8.9,10.9,1.7,2.8,6.2,4.9,3.7,2.6
Slot1,Repeat1,Manual,IQT5,32,Slot1_32_Red,Red,Right,KN,0.0036452,0.0062893,0.0094685,5,7.6,14.6,1.8,3.1,6.5,6,4,3.9
Slot1,Repeat2,Manual,IQT5,11,Slot1_11_Red,Red,Right,KN,0.0030129,0.00564388,0.00703893,6.1,7.8,14.6,1.8,2.5,11.2,5.2,3.4,2.7
Slot1,Repeat2,Manual,IQT5,12,Slot1_12_Red,Red,Right,KN,0.00304611,0.00567445,0.00771468,6.1,9.4,15.6,1.5,3.4,13.3,6.2,4.2,3.7
Slot1,Repeat2,Manual,IQT5,21,Slot1_21_Red,Red,Right,KN,0.00370781,0.00570521,0.00813866,36,8.2,11.5,2.2,3.2,8.2,6.1,3.5,3
Slot1,Repeat2,Manual,IQT5,22,Slot1_22_Red,Red,Right,KN,0.00353727,0.0063877,0.00895095,5.9,8.4,9.6,1.8,3.3,6.4,5.4,3.6,2.6
