SlotID,trial,Alignment,tester,sitID,sampleID,Wgcolor,Wgside,Operator,TP_blue,TP_green,TP_red,Meancontrast_blue,Meancontrast_green,Meancontrast_red,Centercontrast_blue,Centercontrast_green,Centercontrast_red,spatialuniformity_blue,spatialuniformity_green,spatialuniformity_red
Slot1,Repeat1,Pattern,IQTHT3,11,Slot1_11_Red,Red,Right,KN,0.001861,0.004947,0.005082,4.8,6.4,25.1,1.5,2.8,9.2,2.6,2.3,1.5
Slot1,Repeat1,Pattern,IQTHT3,12,Slot1_12_Red,Red,Right,KN,0.001683,0.004515,0.005215,4.5,8,40.3,1.3,4.3,10.4,2.9,2.7,1.8
Slot1,Repeat1,Pattern,IQTHT3,21,Slot1_21_Red,Red,Right,KN,0.001980,0.004591,0.005733,4,6.8,16.7,1.4,3.6,8,3,2.5,1.6
Slot1,Repeat1,Pattern,IQTHT3,22,Slot1_22_Red,Red,Right,KN,0.002042,0.005000,0.006426,4.5,6.6,13.9,1.4,4.3,5.6,2.6,2.3,1.6
Slot1,Repeat1,Pattern,IQTHT3,31,Slot1_31_Red,Red,Right,KN,0.002014,0.004430,0.006313,3.9,6.1,11.5,1.4,3,6,2.7,2.4,1.5
Slot1,Repeat1,Pattern,IQTHT3,32,Slot1_32_Red,Red,Right,KN,0.002080,0.004482,0.006239,4.3,6,28.9,1.3,3.7,4.6,2.8,2.8,1.8
Slot1,Repeat2,Pattern,IQTHT3,11,Slot1_11_Red,Red,Right,KN,0.001865,0.004980,0.005062,4.9,6.4,24.8,1.5,2.8,9.4,2.6,2.3,1.5
Slot1,Repeat2,Pattern,IQTHT3,12,Slot1_12_Red,Red,Right,KN,0.001688,0.004558,0.005230,4.5,8,23.6,1.4,4.4,10.5,2.9,2.7,1.8
Slot1,Repeat2,Pattern,IQTHT3,21,Slot1_21_Red,Red,Right,KN,0.001986,0.004630,0.005742,4,6.8,16.8,1.4,3.7,8,3,2.5,1.6
Slot1,Repeat2,Pattern,IQTHT3,22,Slot1_22_Red,Red,Right,KN,0.002052,0.005054,0.006448,4.5,6.7,13.8,1.4,4.4,5.6,2.6,2.3,1.6
Slot1,Repeat2,Pattern,IQTHT3,31,Slot1_31_Red,Red,Right,KN,0.002016,0.004467,0.006331,3.9,6.2,11.4,1.4,3.1,6,2.7,2.4,1.5
Slot1,Repeat2,Pattern,IQTHT3,32,Slot1_32_Red,Red,Right,KN,0.002089,0.004524,0.006256,4.3,6,22.4,1.3,3.7,4.6,2.8,2.8,1.8
Slot1,Repeat3,Pattern,IQTHT3,11,Slot1_11_Red,Red,Right,KN,0.001742,0.004930,0.004788,5.6,7.5,46.9,1.5,2.8,9.8,2.7,2.2,1.4
Slot1,Repeat3,Pattern,IQTHT3,12,Slot1_12_Red,Red,Right,KN,0.001610,0.004627,0.005000,5.2,10.1,49.7,1.3,4.4,11.1,3.1,2.7,1.8
Slot1,Repeat3,Pattern,IQTHT3,21,Slot1_21_Red,Red,Right,KN,0.001852,0.004632,0.005417,4.5,8.3,27.6,1.3,3.7,8.1,3,2.5,1.5
Slot1,Repeat3,Pattern,IQTHT3,22,Slot1_22_Red,Red,Right,KN,0.002017,0.005290,0.006260,5.3,8,21,1.3,4.3,5.6,2.6,2.3,1.6
Slot1,Repeat3,Pattern,IQTHT3,31,Slot1_31_Red,Red,Right,KN,0.001919,0.004542,0.006112,4.5,7.6,14.4,1.3,3.1,6.1,2.7,2.3,1.5
Slot1,Repeat3,Pattern,IQTHT3,32,Slot1_32_Red,Red,Right,KN,0.002040,0.004693,0.006027,5.1,7.5,39.3,1.3,3.7,4.7,2.9,2.8,1.8
Slot3,Repeat1,Pattern,IQTHT3,11,Slot3_11_Red,Red,Right,KN,0.001857,0.005018,0.004824,5.7,9.4,31.9,1.5,4.4,7.5,2.7,2.3,1.4
Slot3,Repeat1,Pattern,IQTHT3,12,Slot3_12_Red,Red,Right,KN,0.001441,0.004809,0.004812,4.9,8.2,29.4,1.5,4.3,9.2,2.7,2.7,1.7
Slot3,Repeat1,Pattern,IQTHT3,21,Slot3_21_Red,Red,Right,KN,0.002016,0.005267,0.005726,3.9,7.9,17.1,1.4,4.9,8.8,2.8,2.8,1.6
Slot3,Repeat1,Pattern,IQTHT3,22,Slot3_22_Red,Red,Right,KN,0.002006,0.005793,0.006402,3.9,4.3,16.9,1.6,3.2,5.9,2.5,2.2,1.6
Slot3,Repeat1,Pattern,IQTHT3,31,Slot3_31_Red,Red,Right,KN,0.001902,0.004905,0.005333,3.6,6.2,5.9,1.5,3.9,2.7,2.5,2.4,1.4
Slot3,Repeat1,Pattern,IQTHT3,32,Slot3_32_Red,Red,Right,KN,0.001849,0.005145,0.005809,3.2,5.4,14.8,1.4,4.1,3.7,2.5,2.6,1.6
Slot3,Repeat2,Pattern,IQTHT3,11,Slot3_11_Red,Red,Right,KN,0.002159,0.005288,0.005018,6,8.6,14.2,1.7,5.2,7.5,2.5,2.3,1.4
Slot3,Repeat2,Pattern,IQTHT3,12,Slot3_12_Red,Red,Right,KN,0.001770,0.004535,0.004813,5.3,7.8,26.4,1.4,4,7.3,2.9,2.8,1.7
Slot3,Repeat2,Pattern,IQTHT3,21,Slot3_21_Red,Red,Right,KN,0.002074,0.004977,0.005692,4.2,7.8,19.5,1.3,4.2,8.4,2.9,2.8,1.6
Slot3,Repeat2,Pattern,IQTHT3,22,Slot3_22_Red,Red,Right,KN,0.002166,0.004728,0.005972,4.4,4.8,96.6,1.2,2.1,4.3,2.6,2.5,1.6
Slot3,Repeat2,Pattern,IQTHT3,31,Slot3_31_Red,Red,Right,KN,0.001773,0.004382,0.005524,4,7.1,8,1.1,2.6,2.7,2.5,2.6,1.4
Slot3,Repeat2,Pattern,IQTHT3,32,Slot3_32_Red,Red,Right,KN,0.001774,0.004003,0.005680,4.5,5.9,24.1,1.2,2.2,3.2,2.6,2.6,1.7
Slot3,Repeat3,Pattern,IQTHT3,11,Slot3_11_Red,Red,Right,KN,0.002159,0.005283,0.005015,6.1,8.6,14.1,1.7,5.2,7.5,2.5,2.3,1.4
Slot3,Repeat3,Pattern,IQTHT3,12,Slot3_12_Red,Red,Right,KN,0.001769,0.004530,0.004812,5.3,7.8,93.8,1.5,4,7.3,2.9,2.8,1.7
Slot3,Repeat3,Pattern,IQTHT3,21,Slot3_21_Red,Red,Right,KN,0.002076,0.004980,0.005693,4.2,7.8,19.3,1.3,4.3,8.4,2.9,2.8,1.6
Slot3,Repeat3,Pattern,IQTHT3,22,Slot3_22_Red,Red,Right,KN,0.002168,0.004730,0.005973,4.4,4.7,32.4,1.2,2.1,4.3,2.6,2.5,1.6
Slot3,Repeat3,Pattern,IQTHT3,31,Slot3_31_Red,Red,Right,KN,0.001776,0.004388,0.005529,4,7.1,8,1.1,2.6,2.7,2.5,2.6,1.4
Slot3,Repeat3,Pattern,IQTHT3,32,Slot3_32_Red,Red,Right,KN,0.001776,0.004007,0.005686,4.6,5.9,28.5,1.1,2.2,3.1,2.6,2.6,1.7
Slot5,Repeat1,Pattern,IQTHT3,11,Slot5_11_Red,Red,Right,KN,0.000684,0.001607,0.002315,5.6,7.7,38.4,1.2,2.6,6.2,2.1,2.4,1.6
Slot5,Repeat1,Pattern,IQTHT3,12,Slot5_12_Red,Red,Right,KN,0.001049,0.002612,0.003841,4,6.6,37.7,1.2,2.4,5.6,2.6,2.8,1.7
Slot5,Repeat1,Pattern,IQTHT3,21,Slot5_21_Red,Red,Right,KN,0.000897,0.001772,0.002727,4.3,5.5,13.4,1.4,2.4,4.3,2.8,2.9,1.9
Slot5,Repeat1,Pattern,IQTHT3,22,Slot5_22_Red,Red,Right,KN,0.001524,0.003567,0.004881,3.8,5.1,11.8,1.5,3.4,5.2,2.9,2.5,1.8
Slot5,Repeat1,Pattern,IQTHT3,31,Slot5_31_Red,Red,Right,KN,0.000850,0.001778,0.002448,6.4,6.3,14.3,1.8,4.3,9.2,2.3,2.5,1.7
Slot5,Repeat1,Pattern,IQTHT3,32,Slot5_32_Red,Red,Right,KN,0.001751,0.003405,0.004556,6.5,6,14.9,2.3,3.6,5.3,2.6,2.6,1.6
Slot5,Repeat2,Pattern,IQTHT3,11,Slot5_11_Red,Red,Right,KN,0.001168,0.002794,0.003659,5.4,7,94.3,1.2,2.5,6.2,2.2,2.3,1.6
Slot5,Repeat2,Pattern,IQTHT3,12,Slot5_12_Red,Red,Right,KN,0.001141,0.002951,0.004122,4,6.5,39.8,1.2,2.4,5.7,2.6,2.8,1.7
Slot5,Repeat2,Pattern,IQTHT3,21,Slot5_21_Red,Red,Right,KN,0.001381,0.002749,0.004325,4.1,5.5,13.7,1.3,2.4,4.2,2.8,2.9,1.8
Slot5,Repeat2,Pattern,IQTHT3,22,Slot5_22_Red,Red,Right,KN,0.001527,0.003554,0.005274,3.7,5.1,13.3,1.3,3,5,2.8,2.5,1.8
Slot5,Repeat2,Pattern,IQTHT3,31,Slot5_31_Red,Red,Right,KN,0.001510,0.003106,0.004624,6,6.2,17.6,1.5,3.8,8.7,2.4,2.4,1.6
Slot5,Repeat2,Pattern,IQTHT3,32,Slot5_32_Red,Red,Right,KN,0.001960,0.003818,0.005837,6.4,6.1,30.7,1.8,3.2,4.9,2.5,2.7,1.7
Slot5,Repeat3,Pattern,IQTHT3,11,Slot5_11_Red,Red,Right,KN,0.001226,0.002860,0.003559,6.4,9.1,43.6,1.2,2.7,6,2.2,2.6,1.7
Slot5,Repeat3,Pattern,IQTHT3,12,Slot5_12_Red,Red,Right,KN,0.002019,0.005069,0.006481,4.2,7.3,125.1,1.2,2.5,5.4,2.9,2.9,1.8
Slot5,Repeat3,Pattern,IQTHT3,21,Slot5_21_Red,Red,Right,KN,0.001564,0.003015,0.004058,4.6,6,20.6,1.4,2.5,4.4,3.1,3.1,2.1
Slot5,Repeat3,Pattern,IQTHT3,22,Slot5_22_Red,Red,Right,KN,0.002830,0.006552,0.008099,3.9,5.5,17.8,1.5,3.6,5.3,3,2.6,1.9
Slot5,Repeat3,Pattern,IQTHT3,31,Slot5_31_Red,Red,Right,KN,0.001339,0.002760,0.003244,7.6,7,22.7,1.9,4.7,9.2,2.3,2.7,1.8
Slot5,Repeat3,Pattern,IQTHT3,32,Slot5_32_Red,Red,Right,KN,0.003046,0.005926,0.007015,7.1,6.6,32.3,2.3,3.8,5.3,2.7,2.7,1.8
Slot1,Repeat1,Manual,IQTHT3,11,Slot1_11_Red,Red,Right,JE,0.002245,0.006389,0.005554,6.3,7.3,43.7,1.3,2.7,10.2,2.6,2.1,1.7
Slot1,Repeat1,Manual,IQTHT3,12,Slot1_12_Red,Red,Right,JE,0.002159,0.006230,0.006127,6,9.5,41.8,1.2,4.6,12.7,2.8,2.4,1.9
