SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.01.11,30-Dec,1,M,N,Red,0.001300,0.003600,0.004600,601.840000,3.310000,5.930000,4.540000,28.740000,2.560000,3.810000,4.160000,3.820000,4.130000,6.870000
19B157.01.12,30-Dec,1,M,N,Red,0.001200,0.003600,0.005300,370.080000,3.000000,6.260000,5.900000,21.130000,2.880000,4.120000,4.480000,5.060000,5.120000,8.110000
19B157.01.21,30-Dec,1,M,N,Red,0.001200,0.003600,0.004600,335.810000,3.610000,5.550000,5.900000,25.260000,2.990000,4.560000,5.410000,4.530000,4.540000,7.030000
19B157.01.22,30-Dec,1,M,N,Red,0.001100,0.003200,0.004100,215.530000,2.660000,4.350000,5.680000,15.630000,2.940000,4.460000,5.690000,4.180000,4.200000,5.430000
19B157.01.31,30-Dec,1,M,N,Red,0.001300,0.004200,0.006000,910.370000,2.950000,6.700000,5.480000,30.690000,1.990000,3.040000,2.690000,4.200000,4.270000,9.030000
19B157.01.32,30-Dec,1,M,N,Red,0.001200,0.003700,0.005300,574.230000,3.400000,5.420000,5.060000,29.880000,2.200000,2.940000,3.640000,4.130000,4.390000,8.490000
19B157.01.11,30-Dec,2,M,N,Red,0.001300,0.003700,0.004600,602.690000,3.330000,5.930000,4.520000,27.800000,2.580000,3.880000,4.140000,3.850000,4.170000,7.140000
19B157.01.12,30-Dec,2,M,N,Red,0.001200,0.003700,0.005200,383.360000,3.040000,6.160000,5.820000,23.480000,2.900000,4.180000,4.440000,5.180000,5.300000,8.290000
19B157.01.21,30-Dec,2,M,N,Red,0.001200,0.003600,0.004600,427.480000,3.640000,5.540000,5.800000,24.530000,2.970000,4.600000,5.350000,4.590000,4.580000,7.100000
19B157.01.22,30-Dec,2,M,N,Red,0.001100,0.003300,0.004000,219.240000,2.670000,4.650000,5.670000,16.550000,2.920000,4.470000,5.570000,4.290000,4.270000,5.570000
