SampleID,Trial,Operator,Exposuretime(ms),Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.11,1,Adrian,AE,7/12/2020,IQT4,Red,0.00061033,0.002476152,0.005800257,29.65622057,6.185838043,6.420746617,5.374096895,29.63178066,,,,,,,2.097216846,2.968946609,2.826533196,4.455586158,4.587106905,9.102273101
19B167.04.11,2,Adrian,AE,7/12/2020,IQT4,Red,0.000715095,0.002863084,0.005661384,28.39246839,4.429224686,5.382344338,5.501554366,24.50097244,,,,,,,2.118256448,3.029223306,2.884961276,4.382451547,4.538590089,8.634098937
19B167.04.11,3,Adrian,AE,7/12/2020,IQT4,Red,0.000706561,0.002847596,0.005459504,27.9883706,4.371649988,6.558068844,5.861118133,25.76160199,,,,,,,2.080403914,2.940493026,2.809068324,4.437747601,4.562099006,8.533630383
19B167.04.12,1,Adrian,AE,7/12/2020,IQT4,Red,0.000668694,0.002769435,0.005115797,19.21745154,3.678272484,8.578948161,6.789822593,19.18074497,,,,,,,2.242645924,2.8743891,3.019879476,4.094181119,4.254052463,6.987726819
19B167.04.12,2,Adrian,AE,7/12/2020,IQT4,Red,0.000664159,0.002759491,0.004984595,19.06614692,3.674036891,7.879001638,5.412456039,19.62823886,,,,,,,2.214117169,2.842696787,2.995552967,4.085734311,4.254055437,6.88807842
19B167.04.12,3,Adrian,AE,7/12/2020,IQT4,Red,0.000661758,0.002773436,0.004866801,18.98100526,3.660781616,7.830624144,5.504993563,20.31141807,,,,,,,2.203718347,2.838363047,2.974918684,4.147620668,4.269033198,6.927143583
19B167.04.21,1,Adrian,AE,7/12/2020,IQT4,Red,0.000721897,0.002872682,0.004632277,16.2984632,3.588168315,12.59434158,12.35166989,17.28217846,,,,,,,3.049344392,5.119332745,5.031781455,4.196497221,4.047358339,5.438387666
19B167.04.21,2,Adrian,AE,7/12/2020,IQT4,Red,0.000727681,0.00289507,0.00466791,16.38722782,3.634441912,12.158671,11.81239018,16.92860436,,,,,,,3.051389276,5.124894058,5.047765145,4.258496611,4.067473,5.429537293
19B167.04.21,3,Adrian,AE,7/12/2020,IQT4,Red,0.000716959,0.002885596,0.004482157,16.07902284,3.601958428,10.19255942,9.02303878,14.24112117,,,,,,,3.019753725,5.085632372,4.989960528,4.314984482,4.084554436,5.438450187
19B167.04.22,1,Adrian,AE,7/12/2020,IQT4,Red,0.000705148,0.003014965,0.004654973,18.59415769,3.268004112,13.2786095,13.88231488,20.05510431,,,,,,,2.945241619,4.215624227,4.45938115,3.628522241,3.663794163,5.004300272
19B167.04.22,2,Adrian,AE,7/12/2020,IQT4,Red,0.000697585,0.002966646,0.004496473,17.0264612,3.189495767,11.48077407,11.60796373,17.34489028,,,,,,,2.907557278,4.125430076,4.429244809,3.554415687,3.636256659,4.991878367
19B167.04.22,3,Adrian,AE,7/12/2020,IQT4,Red,0.000699132,0.002962852,0.004577279,17.43517688,3.195515087,11.61494348,12.03377427,17.93175164,,,,,,,2.918410734,4.145224481,4.446933099,3.558950541,3.638214966,4.980361329
19B167.04.31,1,Adrian,AE,7/12/2020,IQT4,Red,0.000822719,0.00308983,0.005600959,23.0147958,3.197017769,13.19409658,12.67527965,25.29079772,,,,,,,2.328699294,3.718403121,2.963685439,5.245361306,4.932828743,7.826019915
19B167.04.31,2,Adrian,AE,7/12/2020,IQT4,Red,0.000820027,0.003097591,0.005498192,22.74641047,3.187992851,14.36626575,13.36122011,24.6431759,,,,,,,2.322113301,3.683995024,2.947078279,5.291282682,4.963703484,7.786170898
19B167.04.31,3,Adrian,AE,7/12/2020,IQT4,Red,0.000817394,0.003098856,0.005451456,23.11157125,3.192912796,14.58216608,12.93223774,24.3997351,,,,,,,2.309945269,3.675537688,2.944985127,5.352107449,4.99070216,7.80327646
19B167.04.32,1,Adrian,AE,7/12/2020,IQT4,Red,0.000718008,0.00286873,0.005047765,18.42678746,2.860189781,11.37252429,12.08282063,18.57591603,,,,,,,3.383288919,5.611085971,6.493783042,5.119060131,4.991904059,6.305926173
19B167.04.32,2,Adrian,AE,7/12/2020,IQT4,Red,0.000702383,0.002826899,0.004806231,17.37210879,2.848552421,12.0551855,12.7378541,19.06776827,,,,,,,3.329511625,5.561325732,6.525488698,5.069634134,4.985439353,6.277718749
19B167.04.32,3,Adrian,AE,7/12/2020,IQT4,Red,0.000714265,0.002909248,0.004704696,17.94974682,2.887897159,12.75472357,13.01276492,18.90308754,,,,,,,3.299803858,5.490807105,6.392074653,5.275762045,5.074501425,6.294499169
19B167.04.11,1,Zhida,50,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000307101,0.001705118,0.005211893,42.4866292,6.983808657,,,,,,,,,,1.716964906,3.942456115,3.440328376,4.990127325,5.182940448,10.88727575
19B167.04.12,1,Zhida,50,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000239932,0.001545482,0.004523362,24.87387646,5.492259457,,,,,,,,,,1.924745446,4.121641733,3.800305517,4.980637602,4.782862041,9.685197428
19B167.04.21,1,Zhida,50,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000301569,0.001713707,0.004168955,31.54874489,6.957156389,,,,,,,,,,1.86272263,8.948079894,6.415196238,4.679489367,4.408174894,9.189430788
19B167.04.22,1,Zhida,50,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000257675,0.001720636,0.004041351,35.60717341,5.601001721,,,,,,,,,,2.098673682,6.11669463,5.402432149,4.112525619,4.343557218,7.984192743
19B167.04.31,1,Zhida,50,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000366543,0.002060429,0.004948426,36.70804802,6.260384182,,,,,,,,,,1.54333955,6.173338609,3.916387596,5.941732626,5.521579897,10.71215261
19B167.04.32,1,Zhida,50,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000315087,0.001830595,0.00435184,31.9516762,4.946965644,,,,,,,,,,2.202497535,14.46256601,9.002166752,5.52893397,5.943934366,10.4422649
19B167.04.11,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000338947,0.00181863,0.005280856,28.96107413,6.38601292,,,,,,,,,,1.529819313,2.864810639,3.124291979,4.873978135,4.960957986,8.55419062
19B167.04.12,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000273526,0.001661742,0.004648237,20.43402345,5.132172134,,,,,,,,,,2.022223673,2.956650487,3.435371357,4.731040829,4.808015342,8.609360458
19B167.04.21,1,Zhida,100,New dark field calibration 2020-07-14,IQT-HT1,Red,0.000339359,0.001839421,0.004273102,17.25021058,6.346987809,,,,,,,,,,2.038097216,4.860972894,5.194408643,4.498821419,4.239898909,7.813616998
