SampleID,Trial,Operator,Exposure,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,AU,SU,CU_B,CU_G,CU_R,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.21,1,AM,AE,Radiant,IQT4,Red,0.001763055,0.004326869,0.004345343,156,4,6.4,4.4,13.2,,,,,,,3.358813911,5.162003098,5.08976051,4.303263941,4.187790924,5.550633486
19B167.04.21,2,AM,AE,Radiant,IQT4,Red,0.001809928,0.004417911,0.004311684,194,4,7.8,4.4,12.5,,,,,,,3.347097007,5.122845465,5.099238201,4.377544291,4.201706519,5.557071244
19B167.04.21,3,AM,AE,Radiant,IQT4,Red,0.001845133,0.004476243,0.004283862,152,4,8.1,4.4,12.9,,,,,,,3.30691525,5.049470484,5.137134789,4.338981583,4.191344345,5.56831731
19B167.04.21,4,AM,AE,Radiant,IQT4,Red,0.001772493,0.004351599,0.004337946,199,4,7.8,4.4,14.3,,,,,,,3.367801955,5.159214454,5.081222369,4.346608375,4.203970112,5.578531387
19B167.04.21,5,AM,AE,Radiant,IQT4,Red,0.001766744,0.004318922,0.004333366,146,4,7.8,4.4,12.8,,,,,,,3.319209233,5.039543158,5.202096331,4.205842665,4.152266037,5.592513044
19B251.13.21,1,AM,AE,Radiant,IQT4,Blue,0.003205665,0.005240023,0.001829845,44,1.6,4.4,7.1,15.9,,,,,,,16.56193,15.91671577,2.354408784,7.191792064,13.52481817,26.05179589
19B251.13.21,2,AM,AE,Radiant,IQT4,Blue,0.003217555,0.005289209,0.00184038,47,1.6,4.4,7.1,18.7,,,,,,,16.87452503,15.96522203,2.340081199,7.371240362,13.72719551,26.08781871
19B251.13.21,3,AM,AE,Radiant,IQT4,Blue,0.003172925,0.005265239,0.001844562,45,1.6,4.4,7.1,17.7,,,,,,,16.8908375,15.89994487,2.299237541,7.320303413,13.81693084,26.00880632
19B251.13.21,4,AM,AE,Radiant,IQT4,Blue,0.003171233,0.005269587,0.001847771,48,1.6,4.4,7.1,18.9,,,,,,,16.71632159,15.76178416,2.318865647,7.320156737,13.79994198,25.95989133
19B251.13.21,5,AM,AE,Radiant,IQT4,Blue,0.003148659,0.005204934,0.001825751,46,1.6,4.4,7.1,16.6,,,,,,,16.71595437,15.84615787,2.318907045,7.134050143,13.67182395,26.01052393
