SampleID,Trial,Operator,Exposuretime,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.11,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002139702,0.005054328,0.004710003,621.6437763,3.786168993,,,,,,,,,,1.616305763,2.720166082,2.73900548,5.686690343,4.73982226,8.413004299
19B167.04.12,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001742255,0.004560146,0.004075442,244.8933581,2.602219127,,,,,,,,,,1.660133703,2.146852299,2.670582696,4.829898875,4.275018829,6.285713564
19B167.04.21,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002062709,0.004644031,0.003077505,228.8544745,3.595671736,,,,,,,,,,1.975534483,4.295305156,4.220627301,5.18760167,4.111635857,5.465971965
19B167.04.22,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001895608,0.003943287,0.002701829,148.4002204,2.64450158,,,,,,,,,,2.148335644,3.774853629,3.932006957,4.550840904,3.773854412,4.953196195
19B167.04.31,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002223311,0.005462124,0.004581011,300.5714637,2.679735313,,,,,,,,,,1.794079842,3.435290059,2.782248632,5.99438968,5.350643639,7.35719646
19B167.04.32,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001901759,0.004309794,0.003310103,232.9436069,2.860102941,,,,,,,,,,2.221998283,4.848998856,5.430459442,5.316129975,5.119458489,6.304693491
19B167.04.11,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002125428,0.005005268,0.004679357,546.4100509,3.767318326,,,,,,,,,,1.595754948,2.675902493,2.699434476,5.592088777,4.725654049,8.307068667
19B167.04.12,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001738201,0.004541797,0.004071224,226.6755455,2.579786657,,,,,,,,,,1.66092187,2.126566349,2.630901612,4.6910459,4.23380933,6.261665149
19B167.04.21,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002045338,0.004605706,0.003067528,210.9455775,3.565655354,,,,,,,,,,1.95425262,4.257539731,4.214325092,5.073863878,4.098273641,5.477596637
19B167.04.22,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001884378,0.003913763,0.002693661,158.010793,2.608689408,,,,,,,,,,2.128118099,3.732457559,3.917871186,4.4540803,3.774241369,4.946851073
19B167.04.31,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.002204054,0.005424119,0.004566828,318.6854998,2.647915947,,,,,,,,,,1.802721057,3.406517649,2.756833613,5.920740316,5.280243156,7.303370217
19B167.04.32,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Red,0.001886732,0.004273128,0.003300395,232.9979268,2.833621499,,,,,,,,,,2.209405969,4.842813687,5.447340052,5.230478285,5.093199356,6.269494293
19B251.13.11,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002825512,0.005622512,0.00262452,36.31369629,1.634325236,,,,,,,,,,9.224863626,9.606102182,1.521252449,6.395580103,12.35178724,27.54639201
19B251.13.12,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003043205,0.005771868,0.002244538,48.56521277,1.622634256,,,,,,,,,,9.885085449,9.628446718,1.50361516,7.87465345,14.51981764,27.39204801
19B251.13.21,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002133795,0.004013993,0.001572752,28.70012822,1.44216601,,,,,,,,,,10.51469292,9.387229809,1.630024712,5.120031629,10.66516505,21.85974235
19B251.13.22,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00232339,0.003720168,0.001257974,30.67444652,1.235900624,,,,,,,,,,10.38999776,10.97997622,1.725772833,5.233377588,11.4095951,27.97164692
19B251.13.31,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002741052,0.004979816,0.002528919,43.40967185,1.895677733,,,,,,,,,,9.847934491,9.622400272,1.501480743,7.428443579,13.0091924,32.22362348
19B251.13.32,1,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.003110335,0.00542056,0.002197914,52.34428756,1.271456634,,,,,,,,,,11.32902211,10.44148014,1.533698832,8.509309067,15.32708575,33.27553561
19B251.13.11,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002872326,0.005665502,0.002637779,36.05452221,1.635223296,,,,,,,,,,9.38247292,9.814483496,1.503194005,6.447311374,12.31891533,27.54984239
19B251.13.12,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.00310206,0.005812457,0.002241343,47.71809081,1.616050563,,,,,,,,,,10.14842785,9.914715892,1.539508246,7.882658442,14.49947392,27.34990518
19B251.13.21,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002162493,0.004039568,0.001580092,28.61503166,1.442139147,,,,,,,,,,10.64175045,9.552672171,1.597732501,5.134833098,10.67366457,21.83523365
19B251.13.22,2,Adrian,AE,"Indv. Darkfield, calculated contrast without SLB calibration",IQT-HT1,Blue,0.002346421,0.003724725,0.001261795,30.05547462,1.231088185,,,,,,,,,,10.57962722,11.20908963,1.763405696,5.167299677,11.39912511,27.81014584
