Operator,SampleID,Diced,Repeat,MTF30_x_Blue,MTF30_x_Green,MTF30_x_Red,MTF30_y_Blue,MTF30_y_Green,MTF30_y_Red,MTF_x@15lp/deg_Blue,MTF_x@15lp/deg_Green,MTF_x@15lp/deg_Red,MTF_y@15lp/deg_Blue,MTF_y@15lp/deg_Green,MTF_y@15lp/deg_Red,CRA_x_Blue(arcmin),CRA_x_Green(arcmin),CRA_x_Red(arcmin),CRA_y_Blue(arcmin),CRA_y_Green(arcmin),CRA_y_Red(arcmin),CRA_x_Blue_Calibr(arcmin),CRA_x_Green_Calibr(arcmin),CRA_x_Red_Calibr(arcmin),CRA_y_Blue_Calibr(arcmin),CRA_y_Green_Calibr(arcmin),CRA_y_Red_Calibr(arcmin)
M,19b157.03.12,Y,1,0,10.88636364,15.43333333,0,8.509090909,16,0,0.154,0.313,0,0.066,0.329,0,-6.13,-3.9,0,2.2,-0.23,0,-0.01,0.01,0,1.21,1.21
M,19b157.03.12,Y,2,0,11.47826087,17.24137931,0,8.642857143,16.88235294,0,0.174,0.367,0,0.062,0.344,0,-5.94,-3.79,0,2.2,-0.26,0,-0.02,-0.01,0,1.18,1.19
M,19b157.03.12,Y,3,0,10.24444444,14.68965517,0,8.05,15.43333333,0,0.126,0.291,0,0.05,0.313,0,-6.18,-3.88,0,2.08,-0.22,0,0.07,0.07,0,1.16,1.21
M,19b157.03.21,Y,1,0,11.5,14.08333333,0,8.142857143,14.80645161,0,0.194,0.278,0,0.054,0.294,0,-0.05,-0.13,0,-0.45,-2.69,0,0.15,0.17,0,1.11,1.15
M,19b157.03.21,Y,2,0,11.06451613,12.31818182,0,8.017857143,14.26666667,0,0.184,0.242,0,0.055,0.278,0,-0.04,-0.13,0,-0.45,-2.65,0,0.14,0.09,0,1.12,1.19
M,19b157.03.21,Y,3,0,11.5483871,14.4,0,8.086206897,14.8,0,0.192,0.285,0,0.056,0.294,0,-0.04,-0.12,0,-0.44,-2.69,0,0.19,0.14,0,1.09,1.16
M,19b164.02.31,Y,1,17.81481481,19.81481481,0,16.4,18.19230769,0,0.378,0.439,0,0.339,0.392,0,1.56,-0.18,0,-1.21,0.53,0,0.08,0.1,0,1.08,1.18,0
M,19b164.02.31,Y,2,17.59259259,19.80769231,0,16.48,18.26923077,0,0.373,0.439,0,0.341,0.395,0,1.58,-0.14,0,-1.21,0.53,0,0.07,0.06,0,1.12,1.19,0
M,19b164.02.31,Y,3,17.60714286,19.80769231,0,16.84,18.34615385,0,0.375,0.438,0,0.35,0.398,0,1.49,-0.2,0,-1.17,0.54,0,0.21,0.2,0,1.11,1.16,0
M,19b164.07.31,Y,1,19.80952381,24,0,16.47058824,19.30769231,0,0.443,0.516,0,0.334,0.421,0,2.38,1.17,0,-0.69,0.85,0,0.11,0.13,0,1.12,1.18,0
