Sample ID,diceornot,collimatoraperture,trial,WGtype,WGcolor,Side,operator,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19B157.03.12,cut,no,1,iDolphin,Red,Right,Alex,red,1,1,1,11.46875,12.08196721,0.229,0.152,6.334,-13.227,82.3,-224.8,-17,9.8,1.549352698,-3.235441029,1.371666667,-3.746666667
19B157.03.12,cut,no,1,iDolphin,Red,Right,Alex,green,1,1,1,1.331848552,1.331848552,0,0,-3.968,-23.812,-68.4,-379.2,-27.6,-0.5,-0.970608109,-5.824621669,-1.14,-6.32
19B157.03.21,cut,no,1,iDolphin,Red,Right,Alex,red,1,1,1,10.68421053,11.94117647,0.19,0.212,16.858,1.615,238.1,-6.8,-2.2,20.4,4.12361494,0.39504338,3.968333333,-0.113333333
19B157.03.21,cut,no,1,iDolphin,Red,Right,Alex,green,1,1,1,5.496350365,6.523364486,0.115,0.15,13.571,2.514,189.8,6.6,-1.3,17.1,3.319586416,0.61494678,3.163333333,0.11
19B164.02.31,cut,no,1,iDolphin,Blue,Right,Alex,blue,1,1,1,12.87804878,14.24242424,0.225,0.275,12.711,8.553,176.9,95.2,4.8,16.2,3.109222942,2.092139705,2.948333333,1.586666667
19B164.02.31,cut,no,1,iDolphin,Blue,Right,Alex,green,1,1,1,18.22222222,17.88888889,0.413,0.379,3.657,0.134,43.7,-28.2,-3.7,7.2,0.894534745,0.032777593,0.728333333,-0.47
19B164.07.31,cut,no,1,iDolphin,Blue,Right,Alex,blue,1,1,1,18.67857143,14.75757576,0.431,0.292,11.064,11.028,151.7,131.4,7.2,14.6,2.706352364,2.697546449,2.528333333,2.19
19B164.07.31,cut,no,1,iDolphin,Blue,Right,Alex,green,1,1,1,22.44827586,18.5483871,0.494,0.397,3.059,6.253,34.8,61.6,2.4,6.6,0.748258628,1.529539381,0.58,1.026666667
19B175.08.11,cut,no,1,iDolphin,Red,Right,Alex,red,1,1,1,14.84,17.38709677,0.296,0.373,13.67,-11.461,189.9,-197.9,-15.3,17.2,3.343802675,-2.803462037,3.165,-3.298333333
19B175.08.11,cut,no,1,iDolphin,Red,Right,Alex,green,1,1,1,9.324324324,11.86842105,0.126,0.201,24.203,-16.27,344.6,-268.9,-20.1,27.7,5.920263471,-3.979785104,5.743333333,-4.481666667
19B175.09.21,cut,no,1,iDolphin,Red,Right,Alex,red,1,1,1,12.55882353,14.96153846,0.238,0.299,16.857,2.186,236.8,1.6,-1.6,20.4,4.123370332,0.534715062,3.946666667,0.026666667
