SampleID,Diced,trial,Wgtype,colorside,bottomaperture,Material,operator,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19B157.03.12,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,12.59375,12.94444444,0.233,0.236,6.796,-12.81,84.5,-221,-17.6,10.1,1.662361988,-3.133439203,1.408333333,-3.683333333
19B157.03.12,cut,1,iDolphin,RedRight,N,FDM,Alex,green,1,1,1,8.611940299,7.436781609,0.063,0.044,-7.742,-21.624,-128.9,-350.1,-26.4,-4.4,-1.89376195,-5.289418784,-2.148333333,-5.835
19B157.03.21,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,15.44444444,12.96428571,0.312,0.249,17.712,2.963,244.9,10.4,-1.8,21,4.332510629,0.724776174,4.081666667,0.173333333
19B157.03.21,cut,1,iDolphin,RedRight,N,FDM,Alex,green,1,1,1,12.23529412,8.213114754,0.215,0.052,14.101,3.016,191.4,11.5,-1.7,17.4,3.44922901,0.737740446,3.19,0.191666667
19B175.08.11,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,17.65517241,16.53846154,0.374,0.342,14.881,-11.214,202.6,-197.7,-16,18.2,3.640023753,-2.743043677,3.376666667,-3.295
19B175.08.11,cut,1,iDolphin,RedRight,N,FDM,Alex,green,1,1,1,10.46666667,11.78723404,0.127,0.187,24.857,-26.51,349.6,-422,-31.3,28.2,6.080237208,-6.484574377,5.826666667,-7.033333333
19B175.09.21,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,14.75,14.52,0.293,0.288,16.963,4.036,232.6,25.9,-0.7,20.3,4.149298838,0.987241513,3.876666667,0.431666667
19B175.09.21,cut,1,iDolphin,RedRight,N,FDM,Alex,green,1,1,1,10.78723404,9.3125,0.131,0.119,17.953,3.734,247.3,22,-1,21.3,4.39146128,0.913369629,4.121666667,0.366666667
19B175.09.22,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,14.65517241,14.75862069,0.29,0.293,9.904,4.956,130.4,39.8,0.2,13.2,2.422606193,1.212281682,2.173333333,0.663333333
19B175.09.22,cut,1,iDolphin,RedRight,N,FDM,Alex,green,1,1,1,9.194444444,9.454545455,0.157,0.122,9.229,5.178,121,42.9,0.4,12.6,2.257495258,1.266584852,2.016666667,0.715
19B175.12.32,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,11.21212121,13.09375,0.193,0.244,4.748,12.187,54.2,145.9,7.4,8.1,1.161403036,2.981047976,0.903333333,2.431666667
19B175.12.32,cut,1,iDolphin,RedRight,N,FDM,Alex,green,1,1,1,8.731343284,7.691176471,0.091,0.071,-2.186,14.506,-47.7,179.6,9.7,1.1,-0.534715062,3.548295514,-0.795,2.993333333
19B175.10.32,cut,1,iDolphin,RedRight,N,FDM,Alex,red,1,1,1,10.65,12.5862069,0.19,0.235,10.26,10.095,134.9,115.9,5.3,13.6,2.509686918,2.46932647,2.248333333,1.931666667
