SampleID,Wgtype,sidecolor,toolaperture,ROIsize,Trial,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19b157.07.21,iDolphin,RedRight,Y,700,1,red,1,1,1,18.59259259,15.3,0.416,0.309,-0.294,5.067,-26,128,0.1,4.3,-0.071915018,1.239433267,-0.433333333,2.133333333
19b157.07.21,iDolphin,RedRight,Y,700,1,green,1,1,1,17.58823529,15.82608696,0.344,0.319,-2.643,8.328,-59.6,176.1,3.3,1.9,-0.646501328,2.037102721,-0.993333333,2.935
19b157.07.21,iDolphin,RedRight,Y,700,2,red,1,1,1,18.42857143,15.82142857,0.412,0.323,-1.16,5.233,-38.1,129.9,0.2,3.4,-0.283746329,1.28003834,-0.635,2.165
19b157.07.21,iDolphin,RedRight,Y,700,2,green,1,1,1,17.88888889,14.84210526,0.353,0.297,-2.993,8.447,-65.9,177.2,3.4,1.6,-0.732114441,2.06621117,-1.098333333,2.953333333
19b157.07.21,iDolphin,RedRight,Y,700,3,red,1,1,1,18.65517241,15.71428571,0.42,0.32,-0.269,4.948,-25.5,126.7,-0.1,4.3,-0.065799795,1.210324811,-0.425,2.111666667
19b157.07.21,iDolphin,RedRight,Y,700,3,green,1,1,1,18.5625,15.39130435,0.362,0.309,-2.806,8.32,-62.8,175.9,3.3,1.8,-0.686372578,2.035145851,-1.046666667,2.931666667
19b157.07.22,iDolphin,RedRight,Y,700,1,red,1,1,1,20.66666667,17.35483871,0.468,0.375,-2.913,-1.234,-64.3,35.6,-6.2,1.7,-0.71254573,-0.301847388,-1.071666667,0.593333333
19b157.07.22,iDolphin,RedRight,Y,700,1,green,1,1,1,16.95,14.83333333,0.338,0.296,-7.828,1.633,-136.2,77.1,-3.4,-3.3,-1.914798309,0.39944634,-2.27,1.285
19b157.07.22,iDolphin,RedRight,Y,700,2,red,1,1,1,20.66666667,17.03225806,0.467,0.364,-2.701,-1.129,-61.7,36.8,-6.1,1.9,-0.660688644,-0.276163453,-1.028333333,0.613333333
19b157.07.22,iDolphin,RedRight,Y,700,2,green,1,1,1,16.63157895,14.5,0.33,0.289,-7.615,1.864,-133.5,81.6,-3.1,-3.1,-1.862696628,0.455950996,-2.225,1.36
19b157.07.22,iDolphin,RedRight,Y,700,3,red,1,1,1,20.28,16.33333333,0.456,0.342,-2.647,-1.201,-60.6,35.3,-6.2,1.9,-0.647479763,-0.293775294,-1.01,0.588333333
19b157.07.22,iDolphin,RedRight,Y,700,3,green,1,1,1,15.83333333,13.94444444,0.315,0.279,-7.696,1.817,-134.3,80.5,-3.2,-3.1,-1.882509944,0.444454378,-2.238333333,1.341666667
19b157.10.21,iDolphin,RedRight,Y,700,1,red,1,1,1,18.07407407,16.25925926,0.397,0.334,-3.095,6.016,-67.4,141.8,1,1.5,-0.757064548,1.471567082,-1.123333333,2.363333333
19b157.10.21,iDolphin,RedRight,Y,700,1,green,1,1,1,12.77777778,11.5,0.262,0.229,-4.758,10.067,-90.9,201.9,5.1,-0.2,-1.163849125,2.462477424,-1.515,3.365
19b157.10.21,iDolphin,RedRight,Y,700,2,red,1,1,1,17.96551724,15.21875,0.392,0.307,-2.401,5.624,-57,136.5,0.6,2.2,-0.587305975,1.375680407,-0.95,2.275
19b157.10.21,iDolphin,RedRight,Y,700,2,green,1,1,1,12.76923077,10.93333333,0.264,0.221,-4.648,10.089,-90.1,201.8,5.1,-0.1,-1.136942148,2.467858817,-1.501666667,3.363333333
19b157.10.21,iDolphin,RedRight,Y,700,3,red,1,1,1,18.34615385,16.34482759,0.404,0.339,-2.303,6.069,-54.8,142.8,1.1,2.3,-0.563334303,1.484531351,-0.913333333,2.38
19b157.10.21,iDolphin,RedRight,Y,700,3,green,1,1,1,13.16666667,11.29411765,0.27,0.222,-4.609,10.148,-89.7,203.3,5.1,0,-1.127402402,2.482290735,-1.495,3.388333333
