SampleID,WGtype,sidecolor,Toolaperture,ROIsize,Trial,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19b157.07.22,iDolphin,RedRight,Y,500,1,red,1,1,1,23.68,20.44827586,0.584,0.51,-2.206,-1.216,-53.1,35.6,-6.2,2.4,-0.53960724,-0.297444428,-0.885,0.593333333
19b157.07.22,iDolphin,RedRight,Y,500,1,green,1,1,1,24,20.23076923,0.544,0.54,-7.952,2.164,-137.4,85.2,-2.8,-3.4,-1.945129804,0.529333666,-2.29,1.42
19b157.07.22,iDolphin,RedRight,Y,500,2,red,1,1,1,23.46153846,20.41176471,0.59,0.516,-2.812,-0.945,-63,40.1,-6,1.8,-0.687840231,-0.231155415,-1.05,0.668333333
19b157.07.22,iDolphin,RedRight,Y,500,2,green,1,1,1,25.08695652,22.1,0.562,0.594,-7.619,1.655,-132.7,78,-3.4,-3.1,-1.863675063,0.404827736,-2.211666667,1.3
19b157.07.22,iDolphin,RedRight,Y,500,3,red,1,1,1,23.48148148,20.09375,0.585,0.498,-2.584,-1.146,-59.6,35.9,-6.2,2,-0.632069403,-0.280321804,-0.993333333,0.598333333
19b157.07.22,iDolphin,RedRight,Y,500,3,green,1,1,1,25.35,21.79411765,0.56,0.565,-7.754,1.703,-135.9,78,-3.3,-3.2,-1.896697256,0.416568963,-2.265,1.3
19b157.07.21,iDolphin,RedRight,Y,500,1,red,1,1,1,21,18.68421053,0.536,0.455,-0.68,5.124,-31.5,127.8,0.1,3.9,-0.166334055,1.253375973,-0.525,2.13
19b157.07.21,iDolphin,RedRight,Y,500,1,green,1,1,1,26.05882353,22.24137931,0.589,0.518,-3.201,8.338,-69.1,175.9,3.3,1.4,-0.782993091,2.039548809,-1.151666667,2.931666667
19b157.07.21,iDolphin,RedRight,Y,500,2,red,1,1,1,21.86666667,19.55555556,0.551,0.475,-0.528,5.233,-28.6,130.1,0.2,4,-0.129153502,1.28003834,-0.476666667,2.168333333
19b157.07.21,iDolphin,RedRight,Y,500,2,green,1,1,1,26.09677419,22.06896552,0.594,0.551,-2.752,8.375,-61.7,177.1,3.4,1.8,-0.673163698,2.048599336,-1.028333333,2.951666667
19b157.07.21,iDolphin,RedRight,Y,500,3,red,1,1,1,17.70967742,14.31034483,0.463,0.26,-1.014,3.195,-34.2,100.7,-1.8,3.6,-0.248033429,0.781525438,-0.57,1.678333333
19b157.07.21,iDolphin,RedRight,Y,500,3,green,1,1,1,26.09090909,21.66666667,0.589,0.549,-2.796,8.434,-62.9,176.9,3.4,1.8,-0.683926489,2.063031256,-1.048333333,2.948333333
19b157.10.21,iDolphin,RedRight,Y,500,1,red,1,1,1,22.04347826,20.26666667,0.547,0.493,-3.193,6.213,-69,145.1,1.2,1.4,-0.78103622,1.519755027,-1.15,2.418333333
19b157.10.21,iDolphin,RedRight,Y,500,1,green,1,1,1,25.04,19.47368421,0.514,0.501,-4.742,10.183,-91.5,203.2,5.2,-0.2,-1.159935383,2.490852042,-1.525,3.386666667
19b157.10.21,iDolphin,RedRight,Y,500,2,red,1,1,1,22.11111111,19.9375,0.57,0.484,-2.578,5.855,-59.9,139.4,0.8,2,-0.63060175,1.432185055,-0.998333333,2.323333333
19b157.10.21,iDolphin,RedRight,Y,500,2,green,1,1,1,23.40909091,18.29032258,0.505,0.431,-5.114,10.646,-96.2,209.5,5.6,-0.5,-1.250929884,2.604105903,-1.603333333,3.491666667
19b157.10.21,iDolphin,RedRight,Y,500,3,red,1,1,1,22.2,19.75,0.554,0.488,-2.252,5.966,-53.7,140.7,1,2.3,-0.550859249,1.459336639,-0.895,2.345
19b157.10.21,iDolphin,RedRight,Y,500,3,green,1,1,1,25.07692308,19.38235294,0.521,0.489,-4.582,10.126,-88.5,201.9,5.1,0,-1.120797962,2.476909342,-1.475,3.365
19b152.09.22,iDolphin,BlueRight,Y,500,1,blue,1,1,1,29.05,32.61111111,0.694,0.752,-5.404,-5.068,-100,-20.5,-10.1,-0.8,-1.321866457,-1.239677876,-1.666666667,-0.341666667
19b152.09.22,iDolphin,BlueRight,Y,500,1,green,1,1,1,27.45454545,29.31818182,0.68,0.712,-4.971,-5.965,-93.8,-34.4,-11,-0.4,-1.215950815,-1.45909203,-1.563333333,-0.573333333
19b152.09.22,iDolphin,BlueRight,Y,500,2,blue,1,1,1,28.75,32.26315789,0.687,0.742,-5.485,-5.06,-101.6,-20.7,-10.1,-0.9,-1.341679775,-1.237721005,-1.693333333,-0.345
19b152.09.22,iDolphin,BlueRight,Y,500,2,green,1,1,1,27.36363636,28.05,0.68,0.709,-5.028,-5.947,-94.6,-34.3,-11,-0.5,-1.229893521,-1.45468907,-1.576666667,-0.571666667
