SampleID,Wgtype,sidecolor,Aperture,ROI_size,Trial,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19b157.07.21,iDolphin,RedRight,collimator,700um,1,red,1,1,1,20.33333333,19.62962963,0.465,0.44,-1.268,5.584,-37.2,135.1,0.6,3.3,-0.310164091,1.365896053,-0.62,2.251666667
19b157.07.21,iDolphin,RedRight,collimator,1000um,1,green,1,1,1,17.42857143,15.92307692,0.356,0.324,-2.981,8.4,-64,177.9,3.4,1.6,-0.729179134,2.054714556,-1.066666667,2.965
19b157.07.21,iDolphin,RedRight,collimator,700um,2,red,1,1,1,20.24,19.375,0.461,0.433,-1.445,5.512,-40.6,135.4,0.5,3.1,-0.353459866,1.348284214,-0.676666667,2.256666667
19b157.07.21,iDolphin,RedRight,collimator,1000um,2,green,1,1,1,17.3,15.55555556,0.348,0.315,-3.014,8.481,-63.5,179.8,3.5,1.6,-0.737251228,2.07452787,-1.058333333,2.996666667
19b157.07.21,iDolphin,RedRight,collimator,700um,3,red,1,1,1,20.07692308,19.03571429,0.464,0.429,-1.297,5.445,-37.4,135.1,0.4,3.3,-0.317257749,1.33189542,-0.623333333,2.251666667
19b157.07.21,iDolphin,RedRight,collimator,1000um,3,green,1,1,1,17.84210526,15.17857143,0.35,0.305,-2.98,8.463,-63.2,178.7,3.5,1.6,-0.728934526,2.070124911,-1.053333333,2.978333333
19b157.07.22,iDolphin,RedRight,collimator,700um,1,red,1,1,1,22.22727273,19.45833333,0.499,0.441,-3.499,-1.016,-70.7,40,-6,1.1,-0.85588654,-0.248522647,-1.178333333,0.666666667
19b157.07.22,iDolphin,RedRight,collimator,1000um,1,green,1,1,1,18.27777778,15.5,0.369,0.314,-8.107,1.648,-138.5,78.8,-3.4,-3.5,-1.983044172,0.403115473,-2.308333333,1.313333333
19b157.07.22,iDolphin,RedRight,collimator,700um,2,red,1,1,1,22.08695652,20.16666667,0.495,0.459,-3.262,-0.85,-67,41.8,-5.9,1.3,-0.797914233,-0.207917569,-1.116666667,0.696666667
19b157.07.22,iDolphin,RedRight,collimator,1000um,2,green,1,1,1,18.84210526,16,0.385,0.328,-8.026,1.631,-137.5,78.5,-3.4,-3.5,-1.963230857,0.398957122,-2.291666667,1.308333333
19b157.07.22,iDolphin,RedRight,collimator,700um,3,red,1,1,1,22.26086957,20,0.496,0.455,-3.231,-0.887,-67.6,41.8,-5.9,1.3,-0.790331358,-0.216968098,-1.126666667,0.696666667
19b157.07.22,iDolphin,RedRight,collimator,1000um,3,green,1,1,1,18.94736842,15.96428571,0.383,0.327,-8.002,1.678,-137,79.4,-3.3,-3.4,-1.957360245,0.41045374,-2.283333333,1.323333333
19b157.10.21,iDolphin,RedRight,collimator,700um,1,red,1,1,1,20.62962963,19.20689655,0.468,0.439,-3.166,6.495,-66.6,149.3,1.5,1.4,-0.77443178,1.588734724,-1.11,2.488333333
19b157.10.21,iDolphin,RedRight,collimator,1000um,1,green,1,1,1,14.5,12.66666667,0.291,0.239,-4.737,10.198,-89.5,204,5.2,-0.2,-1.158712338,2.494521174,-1.491666667,3.4
19b157.10.21,iDolphin,RedRight,collimator,700um,2,red,1,1,1,20.5,19.11111111,0.46,0.429,-3.128,6.461,-65.8,149.6,1.5,1.4,-0.765136642,1.580418023,-1.096666667,2.493333333
19b157.10.21,iDolphin,RedRight,collimator,1000um,2,green,1,1,1,14.26315789,12.56,0.286,0.24,-4.986,10.326,-92.9,205.5,5.3,-0.4,-1.219619948,2.525831097,-1.548333333,3.425
19b157.10.21,iDolphin,RedRight,collimator,700um,3,red,1,1,1,20.8,19.03448276,0.462,0.438,-3.1,6.465,-64.8,149.6,1.5,1.5,-0.758287593,1.581396458,-1.08,2.493333333
19b157.10.21,iDolphin,RedRight,collimator,1000um,3,green,1,1,1,14.36842105,12.59259259,0.288,0.239,-4.737,10.266,-89.1,205.2,5.3,-0.2,-1.158712338,2.51115457,-1.485,3.42
19b152.09.22,iDolphin,BlueRight,collimator,1000um,1,blue,1,1,1,22.5,24.55555556,0.473,0.493,-0.867,-5.678,-33.3,-28.6,-10.7,3.7,-0.21207592,-1.388889286,-0.555,-0.476666667
19b152.09.22,iDolphin,BlueRight,collimator,1000um,1,green,1,1,1,22.57894737,22.35,0.499,0.49,-3.11,-5.838,-65.3,-30.9,-10.8,1.5,-0.760733682,-1.428026704,-1.088333333,-0.515
19b152.09.22,iDolphin,BlueRight,collimator,1000um,2,blue,1,1,1,22.77272727,24.36842105,0.476,0.491,-1.016,-5.596,-34.5,-27.5,-10.6,3.5,-0.248522647,-1.368831359,-0.575,-0.458333333
19b152.09.22,iDolphin,BlueRight,collimator,1000um,2,green,1,1,1,22.85,22.43478261,0.5,0.489,-3.101,-5.703,-64.5,-29.3,-10.7,1.5,-0.758532202,-1.395004508,-1.075,-0.488333333
19b152.09.22,iDolphin,BlueRight,collimator,1000um,3,blue,1,1,1,22.86956522,24.44444444,0.474,0.497,-1.001,-5.602,-34.2,-28.1,-10.6,3.6,-0.244853513,-1.370299012,-0.57,-0.468333333
19b152.09.22,iDolphin,BlueRight,collimator,1000um,3,green,1,1,1,23.11111111,22.23529412,0.501,0.486,-3.157,-5.715,-66.1,-29.7,-10.7,1.4,-0.7722303,-1.397939814,-1.101666667,-0.495
19b152.09.32,iDolphin,BlueRight,collimator,1000um,1,blue,1,1,1,15.6,12.82352941,0.315,0.234,-11.364,-6.806,-186.9,-45.5,-11.8,-6.8,-2.779734989,-1.664808076,-3.115,-0.758333333
19b152.09.32,iDolphin,BlueRight,collimator,1000um,1,green,1,1,1,19.61538462,21.23809524,0.428,0.457,-8.108,-7.883,-138.7,-61.2,-12.9,-3.5,-1.98328878,-1.928251795,-2.311666667,-1.02
