SampleID,Diced,Trial,WG_type,Sidecolor,Bottom aperture,Material,operator,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19B164.02.31,cut,1,iDolphin,BlueRight,Y,FDM,Adrian,blue,1,1,1,9,13.23529412,0.082,0.242,12.701,11.376,177.3,136.7,7.6,16.2,3.106776855,2.782670294,2.955,2.278333333
19B164.02.31,cut,1,iDolphin,BlueRight,Y,FDM,Adrian,green,1,1,1,14.95121951,17.62068966,0.298,0.381,3.216,1.697,38.4,-5.4,-2.1,6.7,0.786662224,0.41510131,0.64,-0.09
19B164.07.31,cut,1,iDolphin,BlueRight,Y,FDM,Adrian,blue,1,1,1,16.14285714,14,0.34,0.266,10.453,14.217,143.6,177.6,10.4,14,2.556896411,3.477603614,2.393333333,2.96
19B164.07.31,cut,1,iDolphin,BlueRight,Y,FDM,Adrian,green,1,1,1,16.83870968,18,0.358,0.398,2.348,8.396,25,92.9,4.6,5.9,0.574341703,2.053736121,0.416666667,1.548333333
19B157.03.12,cut,1,iDolphin,RedRight,Y,FDM,Adrian,red,1,1,1,12,11.70967742,0.225,0.209,7.135,-12.885,97.1,-219,-16.7,10.6,1.745284386,-3.151784856,1.618333333,-3.65
19B157.03.12,cut,1,iDolphin,RedRight,Y,FDM,Adrian,green,1,1,1,6.736842105,1.331848552,0.082,0,42.505,-21.421,616.2,-344.2,-25.2,46,10.3970698,-5.239763293,10.27,-5.736666667
19B157.03.21,cut,1,iDolphin,RedRight,Y,FDM,Adrian,red,1,1,1,8.72,8.603448276,0.118,0.133,14.932,0.055,210.4,-29.7,-3.7,18.4,3.652498793,0.01345349,3.506666667,-0.495
19B157.03.21,cut,1,iDolphin,RedRight,Y,FDM,Adrian,green,1,1,1,1.331848552,1.331848552,0,0,-263.293,-9.088,-3872.8,-163.6,-12.9,-259.8,-64.39627927,-2.223005417,-64.54666667,-2.726666667
19B157.08.11,cut,1,iDolphin,RedRight,Y,FDM,Adrian,red,1,1,1,12.74285714,13.14814815,0.235,0.251,13.852,-12.521,194.8,-214.3,-16.3,17.4,3.388321453,-3.062747287,3.246666667,-3.571666667
19B157.08.11,cut,1,iDolphin,RedRight,Y,FDM,Adrian,green,1,1,1,7.954887218,9.611111111,0.178,0.111,22.59,-18.561,322.8,-303.4,-22.4,26.1,5.525710402,-4.540183243,5.38,-5.056666667
