sampleID,trial,WG_type,Sidecolor,Bottom aperture,operator,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19B176.06,1,iDolphin,RedRight,Y,Alex,red,1,1,1,10.35,1.331848552,0.123,0,90.728,-9.357,1323.3,-167.7,-13.2,94.2,22.19256843,-2.288805184,22.055,-2.795
19B176.06,1,iDolphin,RedRight,Y,Alex,red,2,1,1,13.6,10.01818182,0.26,0.098,-1.559,10.527,-31.7,124,6.7,1.9,-0.381345281,2.57499746,-0.528333333,2.066666667
19B176.06,1,iDolphin,RedRight,Y,Alex,red,3,1,1,15.74193548,12.90909091,0.323,0.218,-6.237,17.815,-99.4,230.2,14,-2.7,-1.525625639,4.357705306,-1.656666667,3.836666667
19B176.06,1,iDolphin,RedRight,Y,Alex,red,4,1,1,0.7,0.7,0,0,-215.717,165.017,-3174.2,2391.1,161.2,-212.2,-52.76215589,40.36277285,-52.90333333,39.85166667
19B176.06,1,iDolphin,RedRight,Y,Alex,red,5,1,1,10.65,12.53488372,0.165,0.22,3.452,4.923,41.7,41.8,1.1,7,0.844389923,1.204209589,0.695,0.696666667
19B176.06,1,iDolphin,RedRight,Y,Alex,red,6,1,1,11.02380952,15.22580645,0.157,0.307,8.349,11.01,114.6,131.3,7.2,11.9,2.042239506,2.693143491,1.91,2.188333333
19B176.06,1,iDolphin,RedRight,Y,Alex,green,1,1,1,7.736263736,1.331848552,0.053,0,83.747,-13.397,1220.6,-226.9,-17.2,87.2,20.48501949,-3.277024506,20.34333333,-3.781666667
19B176.06,1,iDolphin,RedRight,Y,Alex,green,2,1,1,9.018181818,10.74576271,0.108,0.134,-0.06,12.666,-9.6,155.2,8.9,3.4,-0.014676534,3.09821555,-0.16,2.586666667
19B176.06,1,iDolphin,RedRight,Y,Alex,green,3,1,1,13.92857143,12.86666667,0.27,0.225,-5.283,22.882,-86.2,305,19.1,-1.8,-1.292268783,5.597136015,-1.436666667,5.083333333
19B176.06,1,iDolphin,RedRight,Y,Alex,green,4,1,1,1.331848552,1.331848552,0,0,80.429,-18.223,1171.8,-297,-22,83.9,19.67343484,-4.457505575,19.53,-4.95
