WaferID,SampleID,Wafer_orientation,WGColor,Trial,Operator,LEDcolor,Samplelocation,Samplenumber,Exitnumber,Cameranumber,MTF30_x,MTF30_y,MTF_x_15lp,MTF_y_15lp,MTF_x_7p5lp,MTF_y_7p5lp,CRA_dx_pixel,CRA_dy_pixel,raytilt_x_arcsec,raytilt_y_arcsec,rel_cross_pos_x_pixel,rel_cross_pos_y_pixel,CRA_x_arcmin,CRA_y_arcmin,CRA_x_raytilt_arcmin,CRA_y_raytilt_arcmin,Diff_CRA_x_arcmin,Diff_CRA_y_arcmin,Diff_CRA_x_raytilt_arcmin,Diff_CRA_y_raytilt_arcmin,Diff_rel_cross_pos_x_arcmin,Diff_rel_cross_pos_y_arcmin,Rel_CRA_x_arcmin,Rel_CRA_y_arcmin,Rel_CRA_x_raytilt_arcmin,Rel_CRA_y_raytilt_arcmin,Rel_rel_cross_pos_x_arcmin,Rel_rel_cross_pos_y_arcmin
19B167.04,19B167.04.11,clockwise90deg,RedRight,1,Adrian,red,11,1,1,1,19.3182,15.8684,0.418,0.333,0.7625,0.6985,11.747,-2.571,152.4,10.9,14,-7.3,-2.8734,0.62889,-2.54,-0.18167,-3.3186,0.19275,-3.0583,-0.63167,-3.3267,0.19569,-2.8898,0.61666,-2.55,-0.17833,-2.8864,0.63598
19B167.04,19B167.04.12,clockwise90deg,RedRight,1,Adrian,red,12,2,1,1,17.3095,11.9184,0.383,0.184,0.564,0.6065,11.385,-14.694,148.2,-166.5,13.6,-19.4,-2.7849,3.5943,-2.47,2.775,-3.2232,3.1012,-2.98,2.2567,-3.2288,3.1065,-2.8013,3.5821,-2.48,2.7783,-2.7885,3.5957
19B167.04,19B167.04.22,clockwise90deg,RedRight,1,Adrian,red,22,3,1,1,19.6538,17.7778,0.43,0.378,0.7715,0.7055,-7.118,-7.175,-124,-56.5,-4.9,-11.9,1.7411,1.7551,2.0667,0.94167,1.1758,1.3074,1.425,0.47667,1.1741,1.3209,1.7247,1.7428,2.0567,0.945,1.7367,1.7612
19B167.04,19B167.04.21,clockwise90deg,RedRight,1,Adrian,red,21,4,1,1,19.4231,17.4286,0.44,0.376,0.808,0.774,-3.735,-1.255,-73.8,30.3,-1.5,-6,0.91361,0.30698,1.23,-0.505,0.38428,-0.085369,0.63333,-0.90833,0.39137,-0.073383,0.89723,0.29475,1.22,-0.50167,0.90505,0.31799
19B167.04,19B167.04.31,clockwise90deg,RedRight,1,Adrian,red,31,5,1,1,18.1481,18.2692,0.414,0.412,0.78,0.8295,-4.974,1.431,-92.3,70.6,-2.7,-3.3,1.2167,-0.35004,1.5383,-1.1767,0.66436,-0.74483,0.91167,-1.5767,0.66044,-0.73383,1.2003,-0.36227,1.5283,-1.1733,1.1986,-0.34245
19B167.04,19B167.04.32,clockwise90deg,RedRight,1,Adrian,red,32,6,1,1,19.1111,16.7273,0.428,0.363,0.793,0.817,-4.795,-18.387,-90.5,-221.1,-2.6,-23.1,1.1729,4.4976,1.5083,3.685,0.62644,4.0563,0.88333,3.2267,0.63598,4.0605,1.1565,4.4854,1.4983,3.6883,1.1741,4.5008
19B167.04,19B167.04.11,clockwise90deg,RedRight,1,Adrian,green,11,1,1,1,16.0769,8.9231,0.331,0.073,0.573,0.395,18.305,3.027,249,93.5,20.5,-1.7,-4.4776,-0.74043,-4.15,-1.5583,-4.7241,-0.92291,-4.4783,-1.75,-4.7209,-0.90505,-4.4756,-0.7485,-4.14,-1.5583,-4.4763,-0.73383
19B167.04,19B167.04.12,clockwise90deg,RedRight,1,Adrian,green,12,2,1,1,5.3391,7.3836,0.076,0.051,0.1135,0.2915,12.162,-14.407,160.1,-162.2,14.4,-19.1,-2.9749,3.5241,-2.6683,2.7033,-3.2995,3.2198,-3.065,2.3983,-3.3022,3.2288,-2.973,3.516,-2.6583,2.7033,-2.9842,3.5224
19B167.04,19B167.04.22,clockwise90deg,RedRight,1,Adrian,green,22,3,1,1,14.963,14.0952,0.299,0.281,0.5945,0.4935,-9.518,-6.36,-159.5,-44.4,-7.3,-11.1,2.3282,1.5557,2.6583,0.74,1.9476,1.2314,2.1967,0.40333,1.9569,1.2475,2.3301,1.5476,2.6683,0.74,2.3238,1.5655
19B167.04,19B167.04.21,clockwise90deg,RedRight,1,Adrian,green,21,4,1,1,15.8621,12.0909,0.325,0.213,0.6165,0.53,-4.94,1.971,-91.8,78.1,-2.7,-2.7,1.2084,-0.48212,1.53,-1.3017,0.85173,-0.65629,1.1183,-1.4783,0.85613,-0.66044,1.2103,-0.4902,1.54,-1.3017,1.1986,-0.48922
