Filename,Status,Calibration,operator,Color,Samplenumber,Exitnumber,Cameranumber,MTF30_x,MTF30_y,MTF_x_15lp,MTF_y_15lp,MTF_x_7p5lp,MTF_y_7p5lp,CRA_dx_pixel,CRA_dy_pixel,raytilt_x_arcsec,raytilt_y_arcsec,rel_cross_pos_x_pixel,rel_cross_pos_y_pixel,CRA_x_arcmin,CRA_y_arcmin,CRA_x_raytilt_arcmin,CRA_y_raytilt_arcmin,Diff_CRA_x_arcmin,Diff_CRA_y_arcmin,Diff_CRA_x_raytilt_arcmin,Diff_CRA_y_raytilt_arcmin,Diff_rel_cross_pos_x_arcmin,Diff_rel_cross_pos_y_arcmin,Rel_CRA_x_arcmin,Rel_CRA_y_arcmin,Rel_CRA_x_raytilt_arcmin,Rel_CRA_y_raytilt_arcmin,Rel_rel_cross_pos_x_arcmin,Rel_rel_cross_pos_y_arcmin
19B157.05.22,diced,before calibration,Zhida,red,1,1,1,19.5667,18.7931,0.455,0.418,0.7965,0.7655,-1.978,2.766,-49,92.7,-2.2,2.6,0.48384,-0.67659,0.81667,-1.545,-0.10836,-0.58388,0.14167,-1.4167,-0.1223,-0.58706,0.46745,-0.68882,0.80667,-1.5417,-0.097844,-0.61152
19B157.05.22,diced,before calibration,Zhida,green,1,1,1,10.9375,10.1404,0.211,0.145,0.438,0.4715,-4.17,1.503,-80.8,75,-3.5,0.4,1.02,-0.36765,1.3467,-1.25,0.42513,-0.27421,0.66667,-1.12,0.41584,-0.26907,1.022,-0.37572,1.3567,-1.25,0.4403,-0.29353
19B157.07.21,diced,before calibration,Zhida,red,1,1,1,19.2222,16.6452,0.428,0.353,0.7855,0.738,-1.095,4.72,-36.2,122.2,-0.3,3.5,0.26785,-1.1546,0.60333,-2.0367,-0.74557,-1.4955,-0.48667,-2.335,-0.75829,-1.4921,0.25146,-1.1668,0.59333,-2.0333,-0.31799,-1.0763
19B157.07.21,diced,before calibration,Zhida,green,1,1,1,19.2778,16.5357,0.382,0.341,0.644,0.5925,-3.33,7.803,-69.7,167.6,2.8,1.2,0.81455,-1.9087,1.1617,-2.7933,-0.02813,-2.0207,0.23333,-2.865,-0.024461,-2.0303,0.8165,-1.9168,1.1717,-2.7933,0.24461,-1.8346
19B157.07.22,diced,before calibration,Zhida,red,1,1,1,20.3043,17.0323,0.455,0.364,0.7955,0.7375,-2.756,-0.823,-61.1,41,-5.8,1.8,0.67414,0.20131,1.0183,-0.68333,-0.42904,-0.15386,-0.15667,-0.995,-0.41584,-0.17123,0.65775,0.18908,1.0083,-0.68,0.097844,0.26907
19B157.07.22,diced,before calibration,Zhida,green,1,1,1,16.8333,15.125,0.333,0.303,0.583,0.481,-7.679,1.954,-132.3,81.5,-3.1,-3.1,1.8784,-0.47797,2.205,-1.3583,0.94395,-0.63916,1.1933,-1.4967,0.92951,-0.63598,1.8803,-0.48604,2.215,-1.3583,1.2964,-0.39137
19B157.07.31,diced,before calibration,Zhida,red,1,1,1,19.24,16.4688,0.427,0.349,0.793,0.7485,-12.5,10.273,-203.7,203.8,5.3,-7.9,3.0576,-2.5129,3.395,-3.3967,1.9578,-2.8375,2.2217,-3.6783,1.9569,-2.8375,3.0412,-2.5251,3.385,-3.3933,2.4705,-2.4461
19B157.07.31,diced,before calibration,Zhida,green,1,1,1,15.28,13.8214,0.307,0.267,0.611,0.5305,-19.472,16.575,-306.6,295.2,11.6,-14.9,4.763,-4.0544,5.11,-4.92,3.8758,-4.1662,4.1367,-4.985,3.8648,-4.1828,4.765,-4.0625,5.12,-4.92,4.1828,-3.9871
19B157.10.21,diced,before calibration,Zhida,red,1,1,1,18.9231,16.2258,0.412,0.339,0.775,0.7055,-2.751,6.272,-60.3,144.3,1.3,1.8,0.67292,-1.5342,1.005,-2.405,-0.35346,-1.8708,-0.095,-2.695,-0.34245,-1.8835,0.65653,-1.5464,0.995,-2.4017,0.097844,-1.4677
19B157.10.21,diced,before calibration,Zhida,green,1,1,1,14.375,12.64,0.29,0.238,0.552,0.4605,-4.629,10.202,-87.6,202,5.2,-0.1,1.1323,-2.4955,1.46,-3.3667,0.32509,-2.645,0.56667,-3.49,0.34245,-2.6418,1.1343,-2.5036,1.47,-3.3667,0.5626,-2.4216
19B157.11.22,diced,before calibration,Zhida,red,1,1,1,22,19.6154,0.489,0.425,0.82,0.7795,-0.72,0.037,-30.4,52.9,-5,3.8,0.17612,-0.0090505,0.50667,-0.88167,-0.90946,-0.36227,-0.65333,-1.1933,-0.90505,-0.36691,0.15973,-0.021281,0.49667,-0.87833,-0.39137,0.073383
