Color,green,,,,Color,green,
Mean,,,,,Stdev,,
Row Labels,Average of MTF30_x,Average of MTF30_y,,,Row Labels,StdDev of MTF30_x,StdDev of MTF30_y
19B152.09.22,20.78212454,21.7213468,,,19B152.09.22,0.069474658,0.039098261
19B152.09.32,16.26564495,17.82350634,,,19B152.09.32,0.204784803,1.582604016
19B152.10.11,15.61025641,17.21717172,,,19B152.10.11,0.008882314,0.188228738
19B152.13.12,20.28681159,19.44628352,,,19B152.13.12,0.177666206,0.483938641
19B157.05.22,11.15307197,7.614017544,,,19B157.05.22,0.60662871,5.482043091
19B157.07.21,18.22039474,16.0839372,,,19B157.07.21,0.23854922,0.109901721
19B157.07.22,16.71084967,15.37876062,,,19B157.07.22,1.689599155,0.66994
19B157.07.31,15.06379928,13.73856992,,,19B157.07.31,0.81300657,0.304450336
19B157.10.21,14.89150433,14.2014652,,,19B157.10.21,0.610385471,0.22804404
19B157.11.22,18.62987013,16.93483219,,,19B157.11.22,0.210714036,0.347265385
19B158.10.32,18.21130104,18.69052632,,,19B158.10.32,0.202961876,1.828705551
19B158.12.22,21.4384058,24.12698413,,,19B158.12.22,0.309798501,0.439885918
19B171.04.22,21.82374396,24.89834055,,,19B171.04.22,0.244080696,0.390703156
19B171.05.11,14.77011494,15.99810066,,,19B171.05.11,0.019908631,0.290742566
19B175.04.12,5.987636544,6.110286314,,,19B175.04.12,4.649015312,4.138263468
19B175.04.21,4.708209108,7.073590418,,,19B175.04.21,3.017295514,4.97956216
Grand Total,15.90960869,16.06610747,,,Grand Total,5.056072121,5.717142446
