SampleID,trial,WG_type,Date,Diced,Sidecolor,Operator,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19B171.05.11,1,iDolphin,5-Mar,Y,BlueRight,Alex,blue,1,1,1,9.470588235,12.36363636,0.176,0.225,5.714,10.767,61.5,210.2,5.8,10.3,1.397695205,2.633703563,1.025,3.503333333
19B171.05.11,1,iDolphin,5-Mar,Y,BlueRight,Alex,green,1,1,1,14.79310345,15.84615385,0.294,0.322,1.381,0.866,-2.1,65.3,-4.1,5.9,0.337804897,0.211831311,-0.035,1.088333333
19B171.05.11,2,iDolphin,5-Mar,Y,BlueRight,Alex,blue,1,1,1,9.3125,12.53125,0.176,0.234,4.375,8.915,41.9,184,3.9,8.9,1.070163924,2.180688094,0.698333333,3.066666667
19B171.05.11,2,iDolphin,5-Mar,Y,BlueRight,Alex,green,1,1,1,14.75862069,16.33333333,0.293,0.335,-0.482,-0.273,-29.4,49.1,-5.3,4.1,-0.117901492,-0.066778231,-0.49,0.818333333
19B171.05.11,3,iDolphin,5-Mar,Y,BlueRight,Alex,blue,1,1,1,9.441176471,12.32352941,0.175,0.225,4.289,9.379,40.2,190.8,4.4,8.9,1.04912756,2.294186578,0.67,3.18
19B171.05.11,3,iDolphin,5-Mar,Y,BlueRight,Alex,green,1,1,1,14.75862069,15.81481481,0.293,0.322,-0.378,-0.356,-27,47.8,-5.4,4.2,-0.092462166,-0.08708077,-0.45,0.796666667
19B171.04.22,1,iDolphin,5-Mar,Y,BlueRight,Alex,blue,1,1,1,20.7,24.72727273,0.447,0.538,-4.395,-1.325,-87.5,33.4,-6.3,0.2,-1.075056102,-0.324106798,-1.458333333,0.556666667
19B171.04.22,1,iDolphin,5-Mar,Y,BlueRight,Alex,green,1,1,1,21.56,24.45454545,0.468,0.532,-4.043,-3.516,-81.8,0.3,-8.5,0.5,-0.988953775,-0.860044891,-1.363333333,0.005
19B171.04.22,2,iDolphin,5-Mar,Y,BlueRight,Alex,blue,1,1,1,21.05,25.33333333,0.45,0.548,-2.744,-1.269,-62.7,33.6,-6.3,1.8,-0.671206826,-0.310408699,-1.045,0.56
19B171.04.22,2,iDolphin,5-Mar,Y,BlueRight,Alex,green,1,1,1,21.86956522,25.19047619,0.475,0.545,-2.394,-3.562,-58.1,0,-8.6,2.2,-0.585593713,-0.8712969,-0.968333333,0
19B171.04.22,3,iDolphin,5-Mar,Y,BlueRight,Alex,blue,1,1,1,21.14285714,25.11111111,0.455,0.543,-4.35,-1.207,-87.2,34.8,-6.2,0.2,-1.064048702,-0.295242947,-1.453333333,0.58
