SampleID,Wgtype,sidecolor,Tool aperture,trial,Color,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(arcsec),ray_tilt_y(arcsec),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19b152.09.22,iDolphin,BlueRight,Y,1,blue,1,1,1,22.875,25.27272727,0.48,0.503,-0.793,-5.204,-31.5,-24.2,-10.2,3.8,-0.193974861,-1.272944683,-0.525,-0.403333333
19b152.09.22,iDolphin,BlueRight,Y,1,green,1,1,1,22.36842105,22.95,0.492,0.497,-2.947,-5.197,-63.4,-23.4,-10.2,1.6,-0.720862432,-1.271232421,-1.056666667,-0.39
19b152.09.22,iDolphin,BlueRight,Y,2,blue,1,1,1,22.5,24.52941176,0.472,0.498,-0.911,-5.121,-33.1,-21.3,-10.1,3.7,-0.222838712,-1.252642146,-0.551666667,-0.355
19b152.09.22,iDolphin,BlueRight,Y,2,green,1,1,1,22.59090909,22.71428571,0.495,0.489,-3.139,-5.039,-65.3,-19.7,-10,1.4,-0.76782734,-1.232584219,-1.088333333,-0.328333333
19b152.09.22,iDolphin,BlueRight,Y,3,blue,1,1,1,23,25.47826087,0.48,0.511,-0.668,-5.241,-29.2,-23,-10.3,3.9,-0.163398748,-1.281995211,-0.486666667,-0.383333333
19b152.09.22,iDolphin,BlueRight,Y,3,green,1,1,1,22.26315789,22.85714286,0.489,0.493,-2.853,-5.33,-61.4,-24.1,-10.3,1.7,-0.697869196,-1.3037654,-1.023333333,-0.401666667
19b152.09.32,iDolphin,BlueRight,Y,1,blue,1,1,1,10.95348837,9.27027027,0.185,0.147,-8.626,-8.381,-145.2,-69.7,-13.4,-4.1,-2.109996148,-2.050066988,-2.42,-1.161666667
19b152.09.32,iDolphin,BlueRight,Y,1,green,1,1,1,17.10714286,18.28571429,0.361,0.385,-6.355,-7.935,-113.1,-62,-12.9,-1.8,-1.554489484,-1.940971454,-1.885,-1.033333333
19b152.09.32,iDolphin,BlueRight,Y,2,blue,1,1,1,11.65789474,10.43243243,0.199,0.184,-9.317,-6.84,-156,-45.9,-11.8,-4.8,-2.279020833,-1.673124777,-2.6,-0.765
19b152.09.32,iDolphin,BlueRight,Y,2,green,1,1,1,18.69230769,19.05,0.403,0.405,-6.174,-7.818,-109.6,-60,-12.8,-1.6,-1.510215281,-1.912352221,-1.826666667,-1
19b152.09.32,iDolphin,BlueRight,Y,3,blue,1,1,1,11.47222222,10.32432432,0.193,0.177,-9.053,-6.992,-152.2,-48.6,-12,-4.5,-2.214444109,-1.710305322,-2.536666667,-0.81
19b152.09.32,iDolphin,BlueRight,Y,3,green,1,1,1,18.34615385,19.05,0.393,0.403,-6.486,-7.729,-114,-59.9,-12.7,-1.9,-1.586533244,-1.890582035,-1.9,-0.998333333
19b152.10.11,iDolphin,BlueRight,Y,1,blue,1,1,1,8.769230769,13.05263158,0.179,0.265,2.276,9.515,13.3,194,4.5,6.8,0.556729863,2.327453374,0.221666667,3.233333333
19b152.10.11,iDolphin,BlueRight,Y,1,green,1,1,1,18.61904762,18.95652174,0.384,0.396,-0.628,2.311,-28.8,88,-2.7,3.9,-0.153614392,0.565291174,-0.48,1.466666667
19b152.10.11,iDolphin,BlueRight,Y,2,blue,1,1,1,8.975,13.2,0.2,0.273,2.423,8.895,16.2,185.1,3.9,7,0.592687371,2.175795918,0.27,3.085
