WG_ID,trial,WG type,Wgcolor,Side,Operator,Color,sample aperture,Sample#,Exit#,Camera#,MTF30_x,MTF30_y,MTF_x@15lp/deg,MTF_y@15lp/deg,CRA_dx(pixel),CRA_dy(pixel),ray_tilt_x(pixel),ray_tilt_y(pixel),rel_cross_pos_x(pixel),rel_cross_pos_y(pixel),CRA_x_from_cradx(arcmin),CRA_y_from_crady(arcmin),CRA_x_fromraytilt(arcmin),CRA_y_fromraytilt(arcmin)
19B164.07.31,1,iDolphin,Blue,Right,Adrian,blue,Y,1,1,1,15.19354839,12.66666667,0.306,0.203,9.834,14.773,130.5,182.9,11,13.3,2.405483578,3.61360602,2.175,3.048333333
19B164.07.31,1,iDolphin,Blue,Right,Adrian,green,Y,1,1,1,21.22727273,16.48387097,0.459,0.348,2.35,8.943,21.2,98,5.1,5.9,0.574830921,2.187537141,0.353333333,1.633333333
19B164.02.31,1,iDolphin,Blue,Right,Adrian,blue,Y,1,1,1,12.475,13.52777778,0.214,0.248,12.74,11.998,171.3,142.9,8.2,16.2,3.116316594,2.934816927,2.855,2.381666667
19B164.02.31,1,iDolphin,Blue,Right,Adrian,green,Y,1,1,1,17.94594595,16,0.416,0.323,2.666,2.599,24,4.7,-1.2,6.2,0.652127332,0.635738536,0.4,0.078333333
19B157.03.12,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,13.18518519,13.08823529,0.252,0.24,7.343,-12.392,93.2,-215,-16.2,10.8,1.796163025,-3.031192763,1.553333333,-3.583333333
19B157.03.12,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,8.638888889,6.420560748,0.103,0.065,-3.25,-19.601,-61.8,-320.7,-23.4,0.3,-0.794978927,-4.794576035,-1.03,-5.345
19B157.03.21,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,13.81481481,12.96551724,0.27,0.248,17.889,3.299,247.6,15.2,-0.5,21.4,4.375806336,0.806964762,4.126666667,0.253333333
19B157.03.21,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.8,5.776536313,0.177,0.058,13.392,4.08,181.9,25.9,0.3,16.9,3.275801462,0.998004304,3.031666667,0.431666667
19B175.08.11,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,17.07407407,16.5862069,0.359,0.348,14.945,-10.394,204.9,-185.6,-14.2,18.4,3.655678705,-2.542464493,3.415,-3.093333333
19B175.08.11,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,1.331848552,11.91891892,0,0.219,24.678,-18.721,347.3,-307.2,-22.5,28.2,6.03645235,-4.579320599,5.788333333,-5.12
19B175.09.21,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.92307692,16.55,0.324,0.333,17.27,4.596,238.8,34.8,0.8,20.8,4.22439366,1.124222487,3.98,0.58
19B175.09.21,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,11,5.865168539,0.162,0.037,18.874,4.606,262.7,34.4,0.8,22.4,4.616745695,1.126668575,4.378333333,0.573333333
19B175.09.22,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.37931034,15.88888889,0.311,0.324,9.913,5.783,131.3,51.3,2,13.4,2.424807672,1.414573217,2.188333333,0.855
19B175.09.22,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,1.331848552,1.331848552,0,0,-171.869,-47.576,-2537,-731.3,-51.4,-168.4,-42.0385923,-11.6374688,-42.28333333,-12.18833333
19B175.10.32,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,10.7173913,11.6875,0.188,0.206,10.015,10.398,132.9,119.1,6.6,13.5,2.449757767,2.543442928,2.215,1.985
19B175.10.32,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,9.056603774,7.616161616,0.094,0.087,2.057,13.202,16.5,160.9,9.4,5.6,0.503160514,3.229325812,0.275,2.681666667
19B175.12.32,1,iDolphin,Red,Right,Adrian,red,Y,1,1,1,14.03333333,13.73333333,0.271,0.268,5.593,13.666,67.9,166.7,9.9,9.1,1.368097533,3.34282424,1.131666667,2.778333333
19B175.12.32,1,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.96226415,7.141666667,0.172,0.045,-0.763,15.514,-25.1,195.5,11.7,2.7,-0.186636594,3.794861008,-0.418333333,3.258333333
19B164.02.31,2,iDolphin,Blue,Right,Adrian,blue,Y,1,1,1,15.35294118,13.52777778,0.312,0.249,12.753,11.89,173.5,141.9,8.1,16.3,3.119496507,2.908399185,2.891666667,2.365
19B164.02.31,2,iDolphin,Blue,Right,Adrian,green,Y,1,1,1,18.75,16.06896552,0.435,0.333,2.648,2.656,25.1,5.6,-1.1,6.2,0.647724372,0.649681244,0.418333333,0.093333333
19B164.07.31,2,iDolphin,Blue,Right,Adrian,blue,Y,1,1,1,15.88235294,12.93442623,0.33,0.226,9.792,14.953,128.7,186.3,11.1,13.3,2.395210009,3.657635574,2.145,3.105
19B164.07.31,2,iDolphin,Blue,Right,Adrian,green,Y,1,1,1,20.86363636,16.40625,0.438,0.347,1.917,9.006,13.2,99.5,5.2,5.4,0.468915268,2.202947495,0.22,1.658333333
19B157.03.12,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,13.07692308,13.06060606,0.25,0.239,7.235,-12.33,91.4,-214.3,-16.1,10.7,1.76974527,-3.016027023,1.523333333,-3.571666667
19B157.03.12,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,8.631578947,6.04494382,0.074,0.067,-4.341,-20.639,-77.6,-335.9,-24.4,-0.8,-1.061847222,-5.048479558,-1.293333333,-5.598333333
19B157.03.21,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,13.2,12.51724138,0.264,0.237,17.621,3.616,244.3,19.5,-0.2,21.1,4.310251254,0.88450578,4.071666667,0.325
19B157.03.21,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.9375,6.03164557,0.191,0.118,12.308,4.003,166.7,26,0.2,15.8,3.010645631,0.97916942,2.778333333,0.433333333
19B175.08.11,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,17.22222222,16.62068966,0.362,0.349,14.992,-10.492,205.7,-186.6,-14.3,18.5,3.66717531,-2.566436153,3.428333333,-3.11
19B175.08.11,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.08,12.72222222,0.107,0.231,24.837,-17.405,350.8,-288.1,-21.2,28.3,6.075345045,-4.257415812,5.846666667,-4.801666667
19B175.09.21,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.91666667,17,0.322,0.346,16.491,4.835,227.6,36.9,1,20,4.033843598,1.182684008,3.793333333,0.615
19B175.09.21,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.04444444,6.5,0.123,0.139,17.002,4.293,235.9,30.2,0.5,20.5,4.158838571,1.050105996,3.931666667,0.503333333
19B175.09.22,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.48275862,16.13636364,0.314,0.33,9.884,5.802,131.2,52.6,2,13.4,2.417714017,1.419220785,2.186666667,0.876666667
19B175.09.22,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,1.331848552,0.7,0,0,-228.708,154.666,-3370.3,2236.7,150.9,-225.2,-55.93907573,37.83115366,-56.17166667,37.27833333
19B175.10.32,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,10.9787234,11.59375,0.2,0.205,10.924,10.498,145.7,121,6.7,14.4,2.672107138,2.567903805,2.428333333,2.016666667
19B175.10.32,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,9.06122449,6.861788618,0.115,0.015,2.029,13.639,15.3,167.5,9.8,5.5,0.496311464,3.336219806,0.255,2.791666667
19B175.12.32,2,iDolphin,Red,Right,Adrian,red,Y,1,1,1,13.65625,13.54545455,0.258,0.258,5.487,13.273,66,162,9.5,9,1.342168993,3.246693029,1.1,2.7
19B175.12.32,2,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.75,7.31372549,0.162,0.041,-1.077,15.718,-30.4,197.5,11.9,2.4,-0.26344379,3.844761163,-0.506666667,3.291666667
19B164.02.31,3,iDolphin,Blue,Right,Adrian,blue,Y,1,1,1,15,13.44444444,0.3,0.247,13.254,12.167,179.7,146.3,8.4,16.8,3.242045464,2.976155802,2.995,2.438333333
19B164.02.31,3,iDolphin,Blue,Right,Adrian,green,Y,1,1,1,17.79411765,16.16129032,0.398,0.337,2.515,2.495,22.8,4.4,-1.3,6,0.615191389,0.610299211,0.38,0.073333333
19B164.07.31,3,iDolphin,Blue,Right,Adrian,blue,Y,1,1,1,16.30555556,13.11764706,0.346,0.22,9.087,15.132,119.4,188.9,11.3,12.6,2.222760809,3.701420518,1.99,3.148333333
19B164.07.31,3,iDolphin,Blue,Right,Adrian,green,Y,1,1,1,20.48,16.40625,0.456,0.348,1.996,9.094,14.6,100.8,5.3,5.5,0.488239371,2.22447307,0.243333333,1.68
19B157.03.12,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,13,12.94285714,0.252,0.238,6.977,-12.479,89.3,-215.2,-16.3,10.5,1.706636189,-3.052473721,1.488333333,-3.586666667
19B157.03.12,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,8.808219178,4.683060109,0.08,0.03,-3.5,-19.95,-65,-325.5,-23.8,0,-0.856131149,-4.879944374,-1.083333333,-5.425
19B157.03.21,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.95833333,8.264150943,0.323,0.155,17.86,3.025,247.5,11.6,-0.8,21.4,4.368712689,0.739941926,4.125,0.193333333
19B157.03.21,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.81481481,5.533333333,0.189,0.121,10.266,3.51,136.5,19.9,-0.3,13.8,2.51115457,0.858577238,2.275,0.331666667
19B175.08.11,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,17.2962963,16.46666667,0.363,0.347,14.808,-9.891,202.4,-177.7,-13.7,18.3,3.622167323,-2.419426278,3.373333333,-2.961666667
19B175.08.11,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.2745098,12.68571429,0.115,0.233,24.709,-17.172,348.2,-284.4,-21,28.2,6.044035202,-4.200422024,5.803333333,-4.74
19B175.09.21,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.92,16.35,0.323,0.33,17.305,4.741,239.3,37,0.9,20.8,4.232954959,1.159690774,3.988333333,0.616666667
19B175.09.21,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,11.1,5.9,0.167,0.073,19.037,5.227,264.9,43.6,1.4,22.5,4.656616874,1.278570687,4.415,0.726666667
19B175.09.22,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,15.56666667,16.20833333,0.317,0.332,9.906,5.732,130.3,51.4,1.9,13.4,2.42309541,1.402098165,2.171666667,0.856666667
19B175.09.22,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,9.428571429,7.393939394,0.167,0.078,10.289,5.576,136.6,48.6,1.8,13.8,2.516780572,1.363939182,2.276666667,0.81
19B175.10.32,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,10.55555556,11.72727273,0.183,0.206,10.57,10.817,139.9,126.3,7,14.1,2.585515637,2.645934001,2.331666667,2.105
19B175.10.32,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,9.709090909,4.804123711,0.115,0.05,2.702,14.196,25.5,175.7,10.4,6.2,0.660933253,3.472466832,0.425,2.928333333
19B175.12.32,3,iDolphin,Red,Right,Adrian,red,Y,1,1,1,8.851351351,10.58585859,0.102,0.122,5.21,12.501,62.7,150.7,8.7,8.7,1.274412336,3.057855113,1.045,2.511666667
19B175.12.32,3,iDolphin,Red,Right,Adrian,green,Y,1,1,1,10.43137255,7.323809524,0.149,0.048,-0.868,15.891,-26.5,201.1,12.1,2.6,-0.212320529,3.88707845,-0.441666667,3.351666667
19B157.03.12,1,iDolphin,Red,Right,Alex,red,N,1,1,1,12.45714286,12.46153846,0.223,0.213,6.837,-13.38,84.3,-229.9,-17.2,10.3,1.67239095,-3.272866158,1.405,-3.831666667
19B157.03.12,1,iDolphin,Red,Right,Alex,green,N,1,1,1,6.462222222,1.331848552,0.05,0,13.342,-24.92,179.8,-398.5,-28.7,16.8,3.263571028,-6.09564752,2.996666667,-6.641666667
19B157.03.21,1,iDolphin,Red,Right,Alex,red,N,1,1,1,12.88571429,11.5862069,0.244,0.215,17.387,1.797,238.5,-5.6,-2,20.9,4.253012859,0.4395622,3.975,-0.093333333
19B157.03.21,1,iDolphin,Red,Right,Alex,green,N,1,1,1,5.634920635,1.331848552,0.119,0,13.302,2.886,178.5,9.2,-0.9,16.8,3.253786681,0.705941289,2.975,0.153333333
19B175.08.11,1,iDolphin,Red,Right,Alex,red,N,1,1,1,15.55172414,15.48387097,0.316,0.315,14.118,-10.974,191,-193.6,-14.8,17.6,3.453387357,-2.684337576,3.183333333,-3.226666667
19B175.08.11,1,iDolphin,Red,Right,Alex,green,N,1,1,1,10.57142857,11.84615385,0.124,0.198,23.933,-16.683,335.3,-277.7,-20.5,27.4,5.854219261,-4.080808443,5.588333333,-4.628333333
19B175.09.21,1,iDolphin,Red,Right,Alex,red,N,1,1,1,14.10344828,14.42857143,0.274,0.288,18.499,-0.179,255.3,-35.6,-4,22,4.525017517,-0.043784994,4.255,-0.593333333
19B175.09.21,1,iDolphin,Red,Right,Alex,green,N,1,1,1,9.813559322,8.763157895,0.113,0.088,19.45,1.017,269.9,-17.1,-2.8,23,4.757640162,0.248767256,4.498333333,-0.285
19B175.09.22,1,iDolphin,Red,Right,Alex,red,N,1,1,1,13.4375,14.8125,0.25,0.294,9.758,4.389,127.3,32.4,0.6,13.3,2.38689331,1.073588448,2.121666667,0.54
19B175.09.22,1,iDolphin,Red,Right,Alex,green,N,1,1,1,6.097345133,1.331848552,0.085,0,7.174,4.331,90.4,31.3,0.5,10.7,1.754824131,1.059401133,1.506666667,0.521666667
19B175.10.32,1,iDolphin,Red,Right,Alex,red,N,1,1,1,10.23913043,12.16129032,0.169,0.224,10.384,9.171,136.8,101.7,5.4,13.9,2.540018406,2.243307948,2.28,1.695
19B175.10.32,1,iDolphin,Red,Right,Alex,green,N,1,1,1,7.8375,7.196969697,0.026,0.042,2.749,12.845,24.4,156.3,9,6.3,0.672429871,3.142000508,0.406666667,2.605
19B175.12.32,1,iDolphin,Red,Right,Alex,red,N,1,1,1,9.346153846,12.43902439,0.101,0.218,4.438,11.566,49.9,137.3,7.8,7.9,1.085574284,2.829145955,0.831666667,2.288333333
19B175.12.32,1,iDolphin,Red,Right,Alex,green,N,1,1,1,8.597222222,1.331848552,0.134,0,46.62,11.238,668.3,132.4,7.4,50.1,11.40362532,2.748914287,11.13833333,2.206666667
19B164.07.31,1,iDolphin,Blue,Right,Alex,blue,N,1,1,1,1.331848552,14.55769231,0,0.277,9.943,92.118,130.8,1319.8,88.3,13.4,2.432145935,22.53256042,2.18,21.99666667
19B164.07.31,1,iDolphin,Blue,Right,Alex,green,N,1,1,1,14.46875,16.81818182,0.283,0.362,2.56,7.734,22.1,80.9,3.9,6.1,0.626198789,1.891805079,0.368333333,1.348333333
19B164.02.31,1,iDolphin,Blue,Right,Alex,blue,N,1,1,1,10.24561404,12.39473684,0.11,0.213,12.45,11.949,167.4,142.8,8.1,16,3.045380069,2.9228311,2.79,2.38
19B164.02.31,1,iDolphin,Blue,Right,Alex,green,N,1,1,1,15.11111111,16.4137931,0.304,0.342,2.27,3.461,18.6,18.7,-0.3,5.8,0.555262209,0.846591403,0.31,0.311666667
19B164.02.31,2,iDolphin,Blue,Right,Alex,blue,N,1,1,1,13,12.67567568,0.219,0.226,11.988,11.732,160.4,139.8,7.9,15.5,2.93237084,2.869751005,2.673333333,2.33
19B164.02.31,2,iDolphin,Blue,Right,Alex,green,N,1,1,1,15.51351351,16.2,0.319,0.337,1.9,3.179,12.5,14.5,-0.6,5.4,0.464756916,0.777611695,0.208333333,0.241666667
19B164.07.31,2,iDolphin,Blue,Right,Alex,blue,N,1,1,1,11.35294118,13.34146341,0.19,0.242,9.357,13.404,121.7,164.3,9.6,12.9,2.288805184,3.278736766,2.028333333,2.738333333
