SampleID,Wgcolor,mtf_x_blue,mtf_x_green,mtf_x_red,mtf_y_blue,mtf_y_green,mtf_y_red,cra_x_blue,cra_x_green,cra_x_red,cra_y_blue,cra_y_green,cra_y_red,A,B,Average,A,B,Average,,blue,green,red,blue,green,red,blue,green,red,,,,,,,,,,
19b152.09.11,Blue,21.000000,22.300000,,17.500000,19.800000,,-1.600000,-0.700000,,-1.100000,0.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.09.12,Blue,25.200000,24.800000,,20.100000,20.000000,,-1.500000,-0.900000,,2.800000,2.600000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.09.21,Blue,25.800000,26.500000,,21.100000,22.100000,,0.300000,0.500000,,-0.200000,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.09.22,Blue,22.200000,22.300000,,21.000000,21.000000,,-0.400000,-0.400000,,1.700000,1.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.09.31,Blue,14.400000,23.000000,,11.900000,19.100000,,1.600000,1.000000,,0.300000,1.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.09.32,Blue,9.300000,9.300000,,10.600000,10.600000,,1.600000,1.600000,,2.200000,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.10.11,Blue,6.700000,16.100000,,5.800000,15.100000,,-1.300000,-0.500000,,-1.400000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.10.12,Blue,22.300000,24.000000,,18.800000,21.400000,,-1.700000,-1.200000,,2.000000,2.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.10.21,Blue,23.900000,25.800000,,20.800000,22.800000,,0.600000,0.400000,,0.200000,0.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.10.22,Blue,25.100000,24.300000,,21.000000,21.900000,,0.900000,0.600000,,0.400000,1.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.10.31,Blue,21.400000,24.900000,,20.100000,22.300000,,1.700000,0.900000,,0.100000,1.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.10.32,Blue,16.200000,18.800000,,17.800000,18.700000,,0.700000,0.300000,,1.800000,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.11.11,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.11.12,Blue,23.400000,0.000000,,19.000000,0.000000,,-1.600000,0.000000,,3.300000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.11.21,Blue,22.200000,25.300000,,20.200000,22.600000,,0.000000,-0.100000,,0.000000,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.11.22,Blue,23.400000,24.700000,,19.600000,21.000000,,0.700000,0.400000,,0.200000,0.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.11.31,Blue,18.700000,26.200000,,18.000000,22.000000,,2.500000,1.600000,,-0.200000,1.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.11.32,Blue,15.700000,18.600000,,17.300000,18.500000,,1.800000,1.000000,,3.100000,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.13.11,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19b152.13.12,Blue,18.600000,22.200000,,19.000000,21.000000,,-3.700000,-2.200000,,2.900000,2.400000,,,,,,,,,0.38%,0.73%,0.19%,73%,67%,38%,9.1,18.4,27.8,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b152.13.21,Blue,21.800000,25.900000,,18.600000,21.400000,,1.500000,1.200000,,-0.900000,0.200000,,,,,,,,,0.27%,0.61%,0.16%,72%,66%,39%,5.5,10.9,24.1,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b152.13.22,Blue,24.800000,24.400000,,21.200000,21.500000,,0.900000,0.800000,,1.600000,1.600000,,,,,,,,,0.24%,0.43%,0.15%,65%,64%,38%,5.6,10.9,27.7,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b152.13.31,Blue,17.600000,23.500000,,17.000000,20.500000,,3.200000,1.500000,,-1.700000,0.100000,,,,,,,,,0.37%,0.72%,0.27%,78%,69%,39%,8.6,18,38.2,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b152.13.32,Blue,16.400000,16.300000,,18.800000,18.300000,,1.900000,0.900000,,2.400000,2.200000,,,,,,,,,0.36%,0.75%,0.22%,67%,63%,38%,11.7,21,35.5,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
19b158.01.11,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
