SampleID,Wgcolor,mtf_x_blue,mtf_x_green,mtf_x_red,mtf_y_blue,mtf_y_green,mtf_y_red,cra_x_blue,cra_x_green,cra_x_red,cra_y_blue,cra_y_green,cra_y_red
19b152.09.22,Blue,22.2,22.3,,21,21,,-0.4,-0.4,,1.7,1.8,
19b152.09.32,Blue,9.3,9.3,,10.6,10.6,,1.6,1.6,,2.2,2.2,
19b152.10.11,Blue,6.7,16.1,,5.8,15.1,,-1.3,-0.5,,-1.4,0,
19b152.13.12,Blue,18.6,22.2,,19,21,,-3.7,-2.2,,2.9,2.4,
19b158.10.32,Blue,13.9,17.9,,16,18.9,,1.4,1,,1.6,1.9,
19b158.12.22,Blue,25.8,25.7,,20.3,22.1,,1,0.7,,0.2,1,
19b171.04.22,Blue,26.5,26,,22.3,22.9,,1,0.8,,0.69,1.18,
19b171.05.11,Blue,6.2,11.1,,6.2,11.4,,-0.6,0,,-2.06,0.4,
19b157.05.22,Red,,11.4,20.6,,10.8,19.4,,0.5,-0.2,,-0.4,-0.2
19b157.07.21,Red,,15.8,17.4,,16.8,17.2,,0.1,-0.65,,-1.58,-0.67
19b157.07.22,Red,,13.2,17.8,,13.8,17.3,,1.37,-0.25,,-0.12,0.74
19b157.07.31,Red,,12.3,14.2,,13.1,17.1,,4.1,1.86,,-3.79,-1.89
19b157.10.21,Red,,5.9,12.3,,9.1,15.2,,-3.46,-1.51,,0.19,-0.28
19b157.11.22,Red,,17.1,20,,17.5,19.1,,0.44,-0.55,,-0.65,0.53
