UUID,TestItem,TestValue
4b554a50-8569-11ea-b73b-dcfb48222b43,SerialNumber,MTF_test
4b554a50-8569-11ea-b73b-dcfb48222b43,StationID,MTF#2
4b554a50-8569-11ea-b73b-dcfb48222b43,Operator,Zhida
4b554a50-8569-11ea-b73b-dcfb48222b43,DataProcessVersion,V1.0
4b554a50-8569-11ea-b73b-dcfb48222b43,ProcessingStartTime,20200423T064947
4b554a50-8569-11ea-b73b-dcfb48222b43,ProcessingEndTime,20200423T064947
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.391
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.371
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
4b554a50-8569-11ea-b73b-dcfb48222b43,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.8766666666666667
4b554a50-8569-11ea-b73b-dcfb48222b43,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.9983333333333335
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.441
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.379
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
4b554a50-8569-11ea-b73b-dcfb48222b43,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.12000000000000001
4b554a50-8569-11ea-b73b-dcfb48222b43,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.68
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.424
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.386
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,22
4b554a50-8569-11ea-b73b-dcfb48222b43,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,19
4b554a50-8569-11ea-b73b-dcfb48222b43,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.5983333333333333
4b554a50-8569-11ea-b73b-dcfb48222b43,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.7983333333333333
