UUID,TestItem,TestValue
1a0fefac-897c-11ea-b324-309c2391d63e,SerialNumber,MTF_test
1a0fefac-897c-11ea-b324-309c2391d63e,StationID,MTF#2
1a0fefac-897c-11ea-b324-309c2391d63e,Operator,Zhida
1a0fefac-897c-11ea-b324-309c2391d63e,DataProcessVersion,V1.0
1a0fefac-897c-11ea-b324-309c2391d63e,ProcessingStartTime,20200428T111429
1a0fefac-897c-11ea-b324-309c2391d63e,ProcessingEndTime,20200428T111429
1a0fefac-897c-11ea-b324-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.391
1a0fefac-897c-11ea-b324-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.371
1a0fefac-897c-11ea-b324-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
1a0fefac-897c-11ea-b324-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
1a0fefac-897c-11ea-b324-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.8766666666666667
1a0fefac-897c-11ea-b324-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.9983333333333335
1a0fefac-897c-11ea-b324-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.441
1a0fefac-897c-11ea-b324-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.379
1a0fefac-897c-11ea-b324-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
1a0fefac-897c-11ea-b324-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
1a0fefac-897c-11ea-b324-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.12000000000000001
1a0fefac-897c-11ea-b324-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.68
1a0fefac-897c-11ea-b324-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.424
1a0fefac-897c-11ea-b324-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.386
1a0fefac-897c-11ea-b324-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,22
1a0fefac-897c-11ea-b324-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,19
1a0fefac-897c-11ea-b324-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.5983333333333333
1a0fefac-897c-11ea-b324-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.7983333333333333
