UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,SerialNumber,MTF_test
650ce936-c14c-11ea-b3fe-309c2391d63e,StationID,MTF#2
650ce936-c14c-11ea-b3fe-309c2391d63e,Operator,Zhida
650ce936-c14c-11ea-b3fe-309c2391d63e,DataProcessVersion,V1.0
650ce936-c14c-11ea-b3fe-309c2391d63e,ProcessingStartTime,20200708T115404
650ce936-c14c-11ea-b3fe-309c2391d63e,ProcessingEndTime,20200708T115404
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.6859999999999999
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.502
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,25
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,21
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.44333333333333336
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.8883333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.725
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.6920000000000001
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,28
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,27
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.76
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,1.4200000000000002
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.696
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.39299999999999996
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,26
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,18
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.35333333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.62
