UUID,TestItem,TestValue
7b333fcc-8988-11ea-be5c-309c2391d63e,SerialNumber,MTF_test
7b333fcc-8988-11ea-be5c-309c2391d63e,StationID,MTF#2
7b333fcc-8988-11ea-be5c-309c2391d63e,Operator,Zhida
7b333fcc-8988-11ea-be5c-309c2391d63e,DataProcessVersion,V1.0
7b333fcc-8988-11ea-be5c-309c2391d63e,ProcessingStartTime,20200428T124306
7b333fcc-8988-11ea-be5c-309c2391d63e,ProcessingEndTime,20200428T124306
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.391
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.371
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
7b333fcc-8988-11ea-be5c-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.8766666666666667
7b333fcc-8988-11ea-be5c-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.9983333333333335
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.441
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.379
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,21
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,18
7b333fcc-8988-11ea-be5c-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,-0.12000000000000001
7b333fcc-8988-11ea-be5c-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.68
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF_x@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.424
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF_y@15lp/deg_green_Sample#1_Exit#1_Camera#1,0.386
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF30_x@index_green_Sample#1_Exit#1_Camera#1,22
7b333fcc-8988-11ea-be5c-309c2391d63e,MTF30_y@index_green_Sample#1_Exit#1_Camera#1,19
7b333fcc-8988-11ea-be5c-309c2391d63e,CRA_x_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,0.5983333333333333
7b333fcc-8988-11ea-be5c-309c2391d63e,CRA_y_fromraytilt(arcmin)_green_Sample#1_Exit#1_Camera#1,3.7983333333333333
